anno,date,weekday,evento
2019,2019-09-08,Sunday,Natività della Beata Vergine Maria
2019,2019-09-12,Thursday,Santissimo nome di Maria
2019,2019-09-14,Saturday,Esaltazione della Santa Croce
2019,2019-09-15,Sunday,24° D.T.O.
2019,2019-09-22,Sunday,25° D.T.O.
2019,2019-09-29,Sunday,26° D.T.O.
2019,2019-10-06,Sunday,27° D.T.O.
2019,2019-10-07,Monday,Madonna del Rosario
2019,2019-10-13,Sunday,28° D.T.O.
2019,2019-10-20,Sunday,29° D.T.O.
2019,2019-10-24,Thursday,Inizio Novena dei morti
2019,2019-10-27,Sunday,30° D.T.O.
2019,2019-11-01,Friday,Solennità di tutti i Santi
2019,2019-11-02,Saturday,Commemorazione dei defunti
2019,2019-11-03,Sunday,31° D.T.O.
2019,2019-11-09,Saturday,Dedicazione Basilica Lateranense
2019,2019-11-10,Sunday,32° D.T.O.
2019,2019-11-17,Sunday,33° D.T.O.
2019,2019-11-21,Thursday,Presentazione della Beata Vergine Maria
2019,2019-11-22,Friday,Santa Cecilia patrona musica
2019,2019-11-24,Sunday,34° D.T.O. - Solennità di Cristo Re
2019,2019-11-29,Friday,Inizio Novena all'immacolata
2019,2019-12-01,Sunday,1° Domenica di Avvento
2019,2019-12-08,Sunday,Immacolata Concezione
2019,2019-12-08,Sunday,2° Domenica di Avvento
2019,2019-12-10,Tuesday,Madonna di Loreto
2019,2019-12-13,Friday,Santa Lucia
2019,2019-12-15,Sunday,3° Domenica di Avvento - Gaudete
2019,2019-12-16,Monday,Inizio Novena di Natale
2019,2019-12-22,Sunday,4° Domenica di Avvento
2019,2019-12-25,Wednesday,Natale del Signore
2019,2019-12-26,Thursday,Santo Stefano
2019,2019-12-29,Sunday,Festa della Sacra Famiglia
2019,2019-12-31,Tuesday,Messa di Ringraziamento
2020,2020-01-01,Wednesday,Maria Santissima Madre di Dio
2020,2020-01-01,Wednesday,Giornata mondiale della pace
2020,2020-01-03,Friday,Santissimo nome di Gesù
2020,2020-01-06,Monday,Epifania del Signore
2020,2020-01-12,Sunday,Battesimo del Signore
2020,2020-01-19,Sunday,2° D.T.O.
2020,2020-01-25,Saturday,Conversione di San Paolo apostolo
2020,2020-01-26,Sunday,3° D.T.O.
2020,2020-02-02,Sunday,Presentazione del Signore (Candelora)
2020,2020-02-09,Sunday,5° D.T.O.
2020,2020-02-11,Tuesday,Madonna di Lourdes
2020,2020-02-16,Sunday,6° D.T.O.
2020,2020-02-22,Saturday,Cattedra di San Pietro Apostolo
2020,2020-02-23,Sunday,7° D.T.O.
2020,2020-02-26,Wednesday,Mercoledì delle ceneri
2020,2020-03-01,Sunday,1° Domenica di Quaresima
2020,2020-03-08,Sunday,2° Domenica di Quaresima
2020,2020-03-15,Sunday,3° Domenica di Quaresima
2020,2020-03-19,Thursday,Solennità di San Giuseppe
2020,2020-03-22,Sunday,Domenica Laetare
2020,2020-03-25,Wednesday,Festa dell'Annunciazione
2020,2020-03-29,Sunday,5° Domenica di Quaresima
2020,2020-04-05,Sunday,Domenica delle Palme
2020,2020-04-06,Monday,Lunedì della settimana Santa
2020,2020-04-07,Tuesday,Martedì della settimana Santa
2020,2020-04-08,Wednesday,Mercoledì della settimana Santa
2020,2020-04-09,Thursday,Giovedì Santo (Messa del Crisma)
2020,2020-04-09,Thursday,Giovedì Santo (In Cena Domini)
2020,2020-04-10,Friday,Venerdì Santo (Passione del Signore)
2020,2020-04-10,Friday,Inizio Novena alla Divina Misericordia
2020,2020-04-11,Saturday,Sabato Santo
2020,2020-04-12,Sunday,Pasqua - Risurrezione del Signore
2020,2020-04-13,Monday,Lunedì dell'Angelo
2020,2020-04-19,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis)
2020,2020-04-26,Sunday,3° Domenica di Pasqua (Misericordias Domini)
2020,2020-05-01,Friday,San Giuseppe Lavoratore
2020,2020-05-03,Sunday,4° Domenica di Pasqua (Jubilate)
2020,2020-05-10,Sunday,5° Domenica di Pasqua (Cantate)
2020,2020-05-17,Sunday,6° Domenica di Pasqua (Rogate - Vocem jocunditatis)
2020,2020-05-22,Friday,Inizio Novena di Pentecoste
2020,2020-05-24,Sunday,Ascensione di Gesù
2020,2020-05-31,Sunday,Pentecoste
2020,2020-05-31,Sunday,Visitazione della Beata Vergine Maria
2020,2020-06-07,Sunday,Solennità della Santissima Trinità
2020,2020-06-14,Sunday,Santissimo Corpo e Sangue di Cristo
2020,2020-06-19,Friday,Santissimo Cuore di Gesù
2020,2020-06-21,Sunday,12° D.T.O.
2020,2020-06-24,Wednesday,Natività di San Giovanni Battista
2020,2020-06-28,Sunday,13° D.T.O.
2020,2020-06-29,Monday,Santi Pietro e Paolo Apostoli
2020,2020-07-05,Sunday,14° D.T.O.
2020,2020-07-12,Sunday,15° D.T.O.
2020,2020-07-16,Thursday,Beata Vergine Maria del Monte Carmelo
2020,2020-07-19,Sunday,16° D.T.O.
2020,2020-07-25,Saturday,San Giacomo
2020,2020-07-26,Sunday,17° D.T.O.
2020,2020-08-02,Sunday,18° D.T.O.
2020,2020-08-06,Thursday,Trasfigurazione del Signore
2020,2020-08-09,Sunday,19° D.T.O.
2020,2020-08-15,Saturday,Assunzione della Beata Vergine Maria
2020,2020-08-16,Sunday,20° D.T.O.
2020,2020-08-23,Sunday,21° D.T.O.
2020,2020-08-30,Sunday,22° D.T.O.
2020,2020-09-06,Sunday,23° D.T.O.
2020,2020-09-08,Tuesday,Natività della Beata Vergine Maria
2020,2020-09-12,Saturday,Santissimo nome di Maria
2020,2020-09-13,Sunday,24° D.T.O.
2020,2020-09-14,Monday,Esaltazione della Santa Croce
2020,2020-09-20,Sunday,25° D.T.O.
2020,2020-09-27,Sunday,26° D.T.O.
2020,2020-10-04,Sunday,27° D.T.O.
2020,2020-10-07,Wednesday,Madonna del Rosario
2020,2020-10-11,Sunday,28° D.T.O.
2020,2020-10-18,Sunday,29° D.T.O.
2020,2020-10-24,Saturday,Inizio Novena dei morti
2020,2020-10-25,Sunday,30° D.T.O.
2020,2020-11-01,Sunday,Solennità di tutti i Santi
2020,2020-11-02,Monday,Commemorazione dei defunti
2020,2020-11-08,Sunday,32° D.T.O.
2020,2020-11-09,Monday,Dedicazione Basilica Lateranense
2020,2020-11-15,Sunday,33° D.T.O.
2020,2020-11-21,Saturday,Presentazione della Beata Vergine Maria
2020,2020-11-22,Sunday,34° D.T.O. - Solennità di Cristo Re
2020,2020-11-22,Sunday,Santa Cecilia patrona musica
2020,2020-11-29,Sunday,1° Domenica di Avvento
2020,2020-11-29,Sunday,Inizio Novena all'immacolata
2020,2020-12-06,Sunday,2° Domenica di Avvento
2020,2020-12-08,Tuesday,Immacolata Concezione
2020,2020-12-10,Thursday,Madonna di Loreto
2020,2020-12-13,Sunday,3° Domenica di Avvento - Gaudete
2020,2020-12-13,Sunday,Santa Lucia
2020,2020-12-16,Wednesday,Inizio Novena di Natale
2020,2020-12-20,Sunday,4° Domenica di Avvento
2020,2020-12-25,Friday,Natale del Signore
2020,2020-12-26,Saturday,Santo Stefano
2020,2020-12-27,Sunday,Festa della Sacra Famiglia
2020,2020-12-31,Thursday,Messa di Ringraziamento
2021,2021-01-01,Friday,Maria Santissima Madre di Dio
2021,2021-01-01,Friday,Giornata mondiale della pace
2021,2021-01-03,Sunday,Santissimo nome di Gesù
2021,2021-01-06,Wednesday,Epifania del Signore
2021,2021-01-10,Sunday,Battesimo del Signore
2021,2021-01-17,Sunday,2° D.T.O.
2021,2021-01-24,Sunday,3° D.T.O.
2021,2021-01-25,Monday,Conversione di San Paolo apostolo
2021,2021-01-31,Sunday,4° D.T.O.
2021,2021-02-02,Tuesday,Presentazione del Signore (Candelora)
2021,2021-02-07,Sunday,5° D.T.O.
2021,2021-02-11,Thursday,Madonna di Lourdes
2021,2021-02-14,Sunday,6° D.T.O.
2021,2021-02-17,Wednesday,Mercoledì delle ceneri
2021,2021-02-21,Sunday,1° Domenica di Quaresima
2021,2021-02-22,Monday,Cattedra di San Pietro Apostolo
2021,2021-02-28,Sunday,2° Domenica di Quaresima
2021,2021-03-07,Sunday,3° Domenica di Quaresima
2021,2021-03-14,Sunday,Domenica Laetare
2021,2021-03-19,Friday,Solennità di San Giuseppe
2021,2021-03-21,Sunday,5° Domenica di Quaresima
2021,2021-03-25,Thursday,Festa dell'Annunciazione
2021,2021-03-28,Sunday,Domenica delle Palme
2021,2021-03-29,Monday,Lunedì della settimana Santa
2021,2021-03-30,Tuesday,Martedì della settimana Santa
2021,2021-03-31,Wednesday,Mercoledì della settimana Santa
2021,2021-04-01,Thursday,Giovedì Santo (Messa del Crisma)
2021,2021-04-01,Thursday,Giovedì Santo (In Cena Domini)
2021,2021-04-02,Friday,Venerdì Santo (Passione del Signore)
2021,2021-04-02,Friday,Inizio Novena alla Divina Misericordia
2021,2021-04-03,Saturday,Sabato Santo
2021,2021-04-04,Sunday,Pasqua - Risurrezione del Signore
2021,2021-04-05,Monday,Lunedì dell'Angelo
2021,2021-04-11,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis)
2021,2021-04-18,Sunday,3° Domenica di Pasqua (Misericordias Domini)
2021,2021-04-25,Sunday,4° Domenica di Pasqua (Jubilate)
2021,2021-05-01,Saturday,San Giuseppe Lavoratore
2021,2021-05-02,Sunday,5° Domenica di Pasqua (Cantate)
2021,2021-05-09,Sunday,6° Domenica di Pasqua (Rogate - Vocem jocunditatis)
2021,2021-05-14,Friday,Inizio Novena di Pentecoste
2021,2021-05-16,Sunday,Ascensione di Gesù
2021,2021-05-23,Sunday,Pentecoste
2021,2021-05-30,Sunday,Solennità della Santissima Trinità
2021,2021-05-31,Monday,Visitazione della Beata Vergine Maria
2021,2021-06-06,Sunday,Santissimo Corpo e Sangue di Cristo
2021,2021-06-11,Friday,Santissimo Cuore di Gesù
2021,2021-06-13,Sunday,11° D.T.O.
2021,2021-06-20,Sunday,12° D.T.O.
2021,2021-06-24,Thursday,Natività di San Giovanni Battista
2021,2021-06-27,Sunday,13° D.T.O.
2021,2021-06-29,Tuesday,Santi Pietro e Paolo Apostoli
2021,2021-07-04,Sunday,14° D.T.O.
2021,2021-07-11,Sunday,15° D.T.O.
2021,2021-07-16,Friday,Beata Vergine Maria del Monte Carmelo
2021,2021-07-18,Sunday,16° D.T.O.
2021,2021-07-25,Sunday,San Giacomo
2021,2021-08-01,Sunday,18° D.T.O.
2021,2021-08-06,Friday,Trasfigurazione del Signore
2021,2021-08-08,Sunday,19° D.T.O.
2021,2021-08-15,Sunday,Assunzione della Beata Vergine Maria
2021,2021-08-22,Sunday,21° D.T.O.
2021,2021-08-29,Sunday,22° D.T.O.
2021,2021-09-05,Sunday,23° D.T.O.
2021,2021-09-08,Wednesday,Natività della Beata Vergine Maria
2021,2021-09-12,Sunday,Santissimo nome di Maria
2021,2021-09-14,Tuesday,Esaltazione della Santa Croce
2021,2021-09-19,Sunday,25° D.T.O.
2021,2021-09-26,Sunday,26° D.T.O.
2021,2021-10-03,Sunday,27° D.T.O.
2021,2021-10-07,Thursday,Madonna del Rosario
2021,2021-10-10,Sunday,28° D.T.O.
2021,2021-10-17,Sunday,29° D.T.O.
2021,2021-10-24,Sunday,30° D.T.O.
2021,2021-10-24,Sunday,Inizio Novena dei morti
2021,2021-10-31,Sunday,31° D.T.O.
2021,2021-11-01,Monday,Solennità di tutti i Santi
2021,2021-11-02,Tuesday,Commemorazione dei defunti
2021,2021-11-07,Sunday,32° D.T.O.
2021,2021-11-09,Tuesday,Dedicazione Basilica Lateranense
2021,2021-11-14,Sunday,33° D.T.O.
2021,2021-11-21,Sunday,34° D.T.O. - Solennità di Cristo Re
2021,2021-11-21,Sunday,Presentazione della Beata Vergine Maria
2021,2021-11-22,Monday,Santa Cecilia patrona musica
2021,2021-11-28,Sunday,1° Domenica di Avvento
2021,2021-11-29,Monday,Inizio Novena all'immacolata
2021,2021-12-05,Sunday,2° Domenica di Avvento
2021,2021-12-08,Wednesday,Immacolata Concezione
2021,2021-12-10,Friday,Madonna di Loreto
2021,2021-12-12,Sunday,3° Domenica di Avvento - Gaudete
2021,2021-12-13,Monday,Santa Lucia
2021,2021-12-16,Thursday,Inizio Novena di Natale
2021,2021-12-19,Sunday,4° Domenica di Avvento
2021,2021-12-25,Saturday,Natale del Signore
2021,2021-12-26,Sunday,Santo Stefano
2021,2021-12-26,Sunday,Festa della Sacra Famiglia
2021,2021-12-31,Friday,Messa di Ringraziamento
2022,2022-01-01,Saturday,Maria Santissima Madre di Dio
2022,2022-01-01,Saturday,Giornata mondiale della pace
2022,2022-01-03,Monday,Santissimo nome di Gesù
2022,2022-01-06,Thursday,Epifania del Signore
2022,2022-01-09,Sunday,Battesimo del Signore
2022,2022-01-16,Sunday,2° D.T.O.
2022,2022-01-23,Sunday,3° D.T.O.
2022,2022-01-25,Tuesday,Conversione di San Paolo apostolo
2022,2022-01-30,Sunday,4° D.T.O.
2022,2022-02-02,Wednesday,Presentazione del Signore (Candelora)
2022,2022-02-06,Sunday,5° D.T.O.
2022,2022-02-11,Friday,Madonna di Lourdes
2022,2022-02-13,Sunday,6° D.T.O.
2022,2022-02-20,Sunday,7° D.T.O.
2022,2022-02-22,Tuesday,Cattedra di San Pietro Apostolo
2022,2022-02-27,Sunday,8° D.T.O.
2022,2022-03-02,Wednesday,Mercoledì delle ceneri
2022,2022-03-06,Sunday,1° Domenica di Quaresima
2022,2022-03-13,Sunday,2° Domenica di Quaresima
2022,2022-03-19,Saturday,Solennità di San Giuseppe
2022,2022-03-20,Sunday,3° Domenica di Quaresima
2022,2022-03-25,Friday,Festa dell'Annunciazione
2022,2022-03-27,Sunday,Domenica Laetare
2022,2022-04-03,Sunday,5° Domenica di Quaresima
2022,2022-04-10,Sunday,Domenica delle Palme
2022,2022-04-11,Monday,Lunedì della settimana Santa
2022,2022-04-12,Tuesday,Martedì della settimana Santa
2022,2022-04-13,Wednesday,Mercoledì della settimana Santa
2022,2022-04-14,Thursday,Giovedì Santo (Messa del Crisma)
2022,2022-04-14,Thursday,Giovedì Santo (In Cena Domini)
2022,2022-04-15,Friday,Venerdì Santo (Passione del Signore)
2022,2022-04-15,Friday,Inizio Novena alla Divina Misericordia
2022,2022-04-16,Saturday,Sabato Santo
2022,2022-04-17,Sunday,Pasqua - Risurrezione del Signore
2022,2022-04-18,Monday,Lunedì dell'Angelo
2022,2022-04-24,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis)
2022,2022-05-01,Sunday,3° Domenica di Pasqua (Misericordias Domini)
2022,2022-05-01,Sunday,San Giuseppe Lavoratore
2022,2022-05-08,Sunday,4° Domenica di Pasqua (Jubilate)
2022,2022-05-15,Sunday,5° Domenica di Pasqua (Cantate)
2022,2022-05-22,Sunday,6° Domenica di Pasqua (Rogate - Vocem jocunditatis)
2022,2022-05-27,Friday,Inizio Novena di Pentecoste
2022,2022-05-29,Sunday,Ascensione di Gesù
2022,2022-05-31,Tuesday,Visitazione della Beata Vergine Maria
2022,2022-06-05,Sunday,Pentecoste
2022,2022-06-12,Sunday,Solennità della Santissima Trinità
2022,2022-06-19,Sunday,Santissimo Corpo e Sangue di Cristo
2022,2022-06-24,Friday,Natività di San Giovanni Battista
2022,2022-06-24,Friday,Santissimo Cuore di Gesù
2022,2022-06-26,Sunday,13° D.T.O.
2022,2022-06-29,Wednesday,Santi Pietro e Paolo Apostoli
2022,2022-07-03,Sunday,14° D.T.O.
2022,2022-07-10,Sunday,15° D.T.O.
2022,2022-07-16,Saturday,Beata Vergine Maria del Monte Carmelo
2022,2022-07-17,Sunday,16° D.T.O.
2022,2022-07-24,Sunday,17° D.T.O.
2022,2022-07-25,Monday,San Giacomo
2022,2022-07-31,Sunday,18° D.T.O.
2022,2022-08-06,Saturday,Trasfigurazione del Signore
2022,2022-08-07,Sunday,19° D.T.O.
2022,2022-08-14,Sunday,20° D.T.O.
2022,2022-08-15,Monday,Assunzione della Beata Vergine Maria
2022,2022-08-21,Sunday,21° D.T.O.
2022,2022-08-28,Sunday,22° D.T.O.
2022,2022-09-04,Sunday,23° D.T.O.
2022,2022-09-08,Thursday,Natività della Beata Vergine Maria
2022,2022-09-11,Sunday,24° D.T.O.
2022,2022-09-12,Monday,Santissimo nome di Maria
2022,2022-09-14,Wednesday,Esaltazione della Santa Croce
2022,2022-09-18,Sunday,25° D.T.O.
2022,2022-09-25,Sunday,26° D.T.O.
2022,2022-10-02,Sunday,27° D.T.O.
2022,2022-10-07,Friday,Madonna del Rosario
2022,2022-10-09,Sunday,28° D.T.O.
2022,2022-10-16,Sunday,29° D.T.O.
2022,2022-10-23,Sunday,30° D.T.O.
2022,2022-10-24,Monday,Inizio Novena dei morti
2022,2022-10-30,Sunday,31° D.T.O.
2022,2022-11-01,Tuesday,Solennità di tutti i Santi
2022,2022-11-02,Wednesday,Commemorazione dei defunti
2022,2022-11-06,Sunday,32° D.T.O.
2022,2022-11-09,Wednesday,Dedicazione Basilica Lateranense
2022,2022-11-13,Sunday,33° D.T.O.
2022,2022-11-20,Sunday,34° D.T.O. - Solennità di Cristo Re
2022,2022-11-21,Monday,Presentazione della Beata Vergine Maria
2022,2022-11-22,Tuesday,Santa Cecilia patrona musica
2022,2022-11-27,Sunday,1° Domenica di Avvento
2022,2022-11-29,Tuesday,Inizio Novena all'immacolata
2022,2022-12-04,Sunday,2° Domenica di Avvento
2022,2022-12-08,Thursday,Immacolata Concezione
2022,2022-12-10,Saturday,Madonna di Loreto
2022,2022-12-11,Sunday,3° Domenica di Avvento - Gaudete
2022,2022-12-13,Tuesday,Santa Lucia
2022,2022-12-16,Friday,Inizio Novena di Natale
2022,2022-12-18,Sunday,4° Domenica di Avvento
2022,2022-12-25,Sunday,Natale del Signore
2022,2022-12-26,Monday,Santo Stefano
2022,2022-12-30,Friday,Festa della Sacra Famiglia
2022,2022-12-31,Saturday,Messa di Ringraziamento
2023,2023-01-01,Sunday,Maria Santissima Madre di Dio
2023,2023-01-01,Sunday,Giornata mondiale della pace
2023,2023-01-03,Tuesday,Santissimo nome di Gesù
2023,2023-01-06,Friday,Epifania del Signore
2023,2023-01-08,Sunday,Battesimo del Signore
2023,2023-01-15,Sunday,2° D.T.O.
2023,2023-01-22,Sunday,3° D.T.O.
2023,2023-01-25,Wednesday,Conversione di San Paolo apostolo
2023,2023-01-29,Sunday,4° D.T.O.
2023,2023-02-02,Thursday,Presentazione del Signore (Candelora)
2023,2023-02-05,Sunday,5° D.T.O.
2023,2023-02-11,Saturday,Madonna di Lourdes
2023,2023-02-12,Sunday,6° D.T.O.
2023,2023-02-19,Sunday,7° D.T.O.
2023,2023-02-22,Wednesday,Mercoledì delle ceneri
2023,2023-02-22,Wednesday,Cattedra di San Pietro Apostolo
2023,2023-02-26,Sunday,1° Domenica di Quaresima
2023,2023-03-05,Sunday,2° Domenica di Quaresima
2023,2023-03-12,Sunday,3° Domenica di Quaresima
2023,2023-03-19,Sunday,Domenica Laetare
2023,2023-03-20,Monday,Solennità di San Giuseppe
2023,2023-03-25,Saturday,Festa dell'Annunciazione
2023,2023-03-26,Sunday,5° Domenica di Quaresima
2023,2023-04-02,Sunday,Domenica delle Palme
2023,2023-04-03,Monday,Lunedì della settimana Santa
2023,2023-04-04,Tuesday,Martedì della settimana Santa
2023,2023-04-05,Wednesday,Mercoledì della settimana Santa
2023,2023-04-06,Thursday,Giovedì Santo (Messa del Crisma)
2023,2023-04-06,Thursday,Giovedì Santo (In Cena Domini)
2023,2023-04-07,Friday,Venerdì Santo (Passione del Signore)
2023,2023-04-07,Friday,Inizio Novena alla Divina Misericordia
2023,2023-04-08,Saturday,Sabato Santo
2023,2023-04-09,Sunday,Pasqua - Risurrezione del Signore
2023,2023-04-10,Monday,Lunedì dell'Angelo
2023,2023-04-16,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis)
2023,2023-04-23,Sunday,3° Domenica di Pasqua (Misericordias Domini)
2023,2023-04-30,Sunday,4° Domenica di Pasqua (Jubilate)
2023,2023-05-01,Monday,San Giuseppe Lavoratore
2023,2023-05-07,Sunday,5° Domenica di Pasqua (Cantate)
2023,2023-05-14,Sunday,6° Domenica di Pasqua (Rogate - Vocem jocunditatis)
2023,2023-05-19,Friday,Inizio Novena di Pentecoste
2023,2023-05-21,Sunday,Ascensione di Gesù
2023,2023-05-28,Sunday,Pentecoste
2023,2023-05-31,Wednesday,Visitazione della Beata Vergine Maria
2023,2023-06-04,Sunday,Solennità della Santissima Trinità
2023,2023-06-11,Sunday,Santissimo Corpo e Sangue di Cristo
2023,2023-06-16,Friday,Santissimo Cuore di Gesù
2023,2023-06-18,Sunday,11° D.T.O.
2023,2023-06-24,Saturday,Natività di San Giovanni Battista
2023,2023-06-25,Sunday,12° D.T.O.
2023,2023-06-29,Thursday,Santi Pietro e Paolo Apostoli
2023,2023-07-02,Sunday,13° D.T.O.
2023,2023-07-09,Sunday,14° D.T.O.
2023,2023-07-16,Sunday,15° D.T.O.
2023,2023-07-16,Sunday,Beata Vergine Maria del Monte Carmelo
2023,2023-07-23,Sunday,16° D.T.O.
2023,2023-07-25,Tuesday,San Giacomo
2023,2023-07-30,Sunday,17° D.T.O.
2023,2023-08-06,Sunday,Trasfigurazione del Signore
2023,2023-08-13,Sunday,19° D.T.O.
2023,2023-08-15,Tuesday,Assunzione della Beata Vergine Maria
2023,2023-08-20,Sunday,20° D.T.O.
2023,2023-08-27,Sunday,21° D.T.O.
2023,2023-09-03,Sunday,22° D.T.O.
2023,2023-09-08,Friday,Natività della Beata Vergine Maria
2023,2023-09-10,Sunday,23° D.T.O.
2023,2023-09-12,Tuesday,Santissimo nome di Maria
2023,2023-09-14,Thursday,Esaltazione della Santa Croce
2023,2023-09-17,Sunday,24° D.T.O.
2023,2023-09-24,Sunday,25° D.T.O.
2023,2023-10-01,Sunday,26° D.T.O.
2023,2023-10-07,Saturday,Madonna del Rosario
2023,2023-10-08,Sunday,27° D.T.O.
2023,2023-10-15,Sunday,28° D.T.O.
2023,2023-10-22,Sunday,29° D.T.O.
2023,2023-10-24,Tuesday,Inizio Novena dei morti
2023,2023-10-29,Sunday,30° D.T.O.
2023,2023-11-01,Wednesday,Solennità di tutti i Santi
2023,2023-11-02,Thursday,Commemorazione dei defunti
2023,2023-11-05,Sunday,31° D.T.O.
2023,2023-11-09,Thursday,Dedicazione Basilica Lateranense
2023,2023-11-12,Sunday,32° D.T.O.
2023,2023-11-19,Sunday,33° D.T.O.
2023,2023-11-21,Tuesday,Presentazione della Beata Vergine Maria
2023,2023-11-22,Wednesday,Santa Cecilia patrona musica
2023,2023-11-26,Sunday,34° D.T.O. - Solennità di Cristo Re
2023,2023-11-29,Wednesday,Inizio Novena all'immacolata
2023,2023-12-03,Sunday,1° Domenica di Avvento
2023,2023-12-08,Friday,Immacolata Concezione
2023,2023-12-10,Sunday,2° Domenica di Avvento
2023,2023-12-10,Sunday,Madonna di Loreto
2023,2023-12-13,Wednesday,Santa Lucia
2023,2023-12-16,Saturday,Inizio Novena di Natale
2023,2023-12-17,Sunday,3° Domenica di Avvento - Gaudete
2023,2023-12-24,Sunday,4° Domenica di Avvento
2023,2023-12-25,Monday,Natale del Signore
2023,2023-12-26,Tuesday,Santo Stefano
2023,2023-12-31,Sunday,Festa della Sacra Famiglia
2023,2023-12-31,Sunday,Messa di Ringraziamento
2024,2024-01-01,Monday,Maria Santissima Madre di Dio
2024,2024-01-01,Monday,Giornata mondiale della pace
2024,2024-01-03,Wednesday,Santissimo nome di Gesù
2024,2024-01-06,Saturday,Epifania del Signore
2024,2024-01-07,Sunday,Battesimo del Signore
2024,2024-01-14,Sunday,2° D.T.O.
2024,2024-01-21,Sunday,3° D.T.O.
2024,2024-01-25,Thursday,Conversione di San Paolo apostolo
2024,2024-01-28,Sunday,4° D.T.O.
2024,2024-02-02,Friday,Presentazione del Signore (Candelora)
2024,2024-02-04,Sunday,5° D.T.O.
2024,2024-02-11,Sunday,6° D.T.O.
2024,2024-02-11,Sunday,Madonna di Lourdes
2024,2024-02-14,Wednesday,Mercoledì delle ceneri
2024,2024-02-18,Sunday,1° Domenica di Quaresima
