evento,date,weekday,celebrazione,id_liturgia
Santi Pietro e Paolo Apostoli,2020-06-29,Monday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-A
Trasfigurazione del Signore,2020-08-06,Thursday,6 agosto: Trasfigurazione del Signore,C75-A
Assunzione della Beata Vergine Maria,2020-08-15,Saturday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-A
Esaltazione della Santa Croce,2020-09-14,Monday,14 settembre: Esaltazione della Santa Croce,C78-A
Solennità di tutti i Santi,2020-11-01,Sunday,1 novembre: Tutti i Santi,C79-A
Commemorazione dei defunti,2020-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-A
Commemorazione dei defunti,2020-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-A
Commemorazione dei defunti,2020-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-A
Dedicazione Basilica Lateranense,2020-11-09,Monday,9 novembre: Dedicazione della Basilica lateranense,C83-A
Immacolata Concezione,2020-12-08,Tuesday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-A
1° Domenica di Avvento,2021-11-28,Sunday,I domenica di Avvento,C1-B
2° Domenica di Avvento,2021-12-05,Sunday,II domenica di Avvento,C2-B
3° Domenica di Avvento - Gaudete,2021-12-12,Sunday,III domenica di Avvento,C3-B
4° Domenica di Avvento,2021-12-19,Sunday,IV domenica di Avvento,C4-B
Natale del Signore,2021-12-25,Saturday,Natale del Signore – Messa del giorno,C8-B
Festa della Sacra Famiglia,2021-12-26,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-B
Maria Santissima Madre di Dio,2021-01-01,Friday,Solennità di Maria SS Madre di Dio,C10-B
2° domenica dopo natale,2021-01-03,Sunday,II domenica dopo Natale,C11-B
Epifania del Signore,2021-01-06,Wednesday,Epifania del Signore,C12-B
Battesimo del Signore,2021-01-10,Sunday,Battesimo del Signore,C13-B
1° Domenica di Quaresima,2021-02-21,Sunday,I domenica di Quaresima,C14-B
2° Domenica di Quaresima,2021-02-28,Sunday,II domenica di Quaresima,C15-B
3° Domenica di Quaresima,2021-03-07,Sunday,III domenica di Quaresima,C16-B
Domenica Laetare,2021-03-14,Sunday,IV domenica di Quaresima,C17-B
5° Domenica di Quaresima,2021-03-21,Sunday,V domenica di Quaresima,C18-B
Domenica delle Palme,2021-03-28,Sunday,Domenica delle Palme: Passione del Signore,C19-B
Giovedì Santo (Messa del Crisma),2021-04-01,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-B
Giovedì Santo (In Cena Domini),2021-04-01,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-B
Venerdì Santo (Passione del Signore),2021-04-02,Friday,Venerdì Santo «Passione del Signore»,C22-B
Pasqua - Risurrezione del Signore,2021-04-04,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-B
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2021-04-11,Sunday,II domenica di Pasqua,C25-B
3° Domenica di Pasqua (Misericordias Domini),2021-04-18,Sunday,III domenica di Pasqua,C26-B
4° Domenica di Pasqua (Jubilate),2021-04-25,Sunday,IV domenica di Pasqua,C27-B
5° Domenica di Pasqua (Cantate),2021-05-02,Sunday,V domenica di Pasqua,C28-B
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2021-05-09,Sunday,VI domenica di Pasqua,C29-B
Ascensione di Gesù,2021-05-16,Sunday,Ascensione del Signore,C30-B
Pentecoste,2021-05-23,Sunday,Domenica di Pentecoste – Messa del giorno,C33-B
Solennità della Santissima Trinità,2021-05-30,Sunday,Solennità della SS Trinità,C34-B
Santissimo Corpo e Sangue di Cristo,2021-06-06,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-B
Santissimo Cuore di Gesù,2021-06-11,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-B
2° D.T.O.,2021-01-17,Sunday,II domenica del Tempo Ordinario,C37-B
3° D.T.O.,2021-01-24,Sunday,III domenica del Tempo Ordinario,C38-B
4° D.T.O.,2021-01-31,Sunday,IV domenica del Tempo Ordinario,C39-B
5° D.T.O.,2021-02-07,Sunday,V domenica del Tempo Ordinario,C40-B
6° D.T.O.,2021-02-14,Sunday,VI domenica del Tempo Ordinario,C41-B
11° D.T.O.,2021-06-13,Sunday,XI domenica del Tempo Ordinario,C46-B
12° D.T.O.,2021-06-20,Sunday,XII domenica del Tempo Ordinario,C47-B
13° D.T.O.,2021-06-27,Sunday,XIII domenica del Tempo Ordinario,C48-B
14° D.T.O.,2021-07-04,Sunday,XIV domenica del Tempo Ordinario,C49-B
15° D.T.O.,2021-07-11,Sunday,XV domenica del Tempo Ordinario,C50-B
16° D.T.O.,2021-07-18,Sunday,XVI domenica del Tempo Ordinario,C51-B
17° D.T.O.,2021-07-25,Sunday,XVII domenica del Tempo Ordinario,C52-B
18° D.T.O.,2021-08-01,Sunday,XVIII domenica del Tempo Ordinario,C53-B
19° D.T.O.,2021-08-08,Sunday,XIX domenica del Tempo Ordinario,C54-B
21° D.T.O.,2021-08-22,Sunday,XXI domenica del Tempo Ordinario,C56-B
22° D.T.O.,2021-08-29,Sunday,XXII domenica del Tempo Ordinario,C57-B
23° D.T.O.,2021-09-05,Sunday,XXIII domenica del Tempo Ordinario,C58-B
24° D.T.O.,2021-09-12,Sunday,XXIV domenica del Tempo Ordinario,C59-B
25° D.T.O.,2021-09-19,Sunday,XXV domenica del Tempo Ordinario,C60-B
26° D.T.O.,2021-09-26,Sunday,XXVI domenica del Tempo Ordinario,C61-B
27° D.T.O.,2021-10-03,Sunday,XXVII domenica del Tempo Ordinario,C62-B
28° D.T.O.,2021-10-10,Sunday,XXVIII domenica del Tempo Ordinario,C63-B
29° D.T.O.,2021-10-17,Sunday,XXIX domenica del Tempo Ordinario,C64-B
30° D.T.O.,2021-10-24,Sunday,XXX domenica del Tempo Ordinario,C65-B
31° D.T.O.,2021-10-31,Sunday,XXXI domenica del Tempo Ordinario,C66-B
32° D.T.O.,2021-11-07,Sunday,XXXII domenica del Tempo Ordinario,C67-B
33° D.T.O.,2021-11-14,Sunday,XXXIII domenica del Tempo Ordinario,C68-B
34° D.T.O. - Solennità di Cristo Re,2021-11-21,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69-B
Presentazione del Signore (Candelora),2021-02-02,Tuesday,2 febbraio: Presentazione del Signore,C70-B
Natività di San Giovanni Battista,2021-06-24,Thursday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-B
Santi Pietro e Paolo Apostoli,2021-06-29,Tuesday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-B
Trasfigurazione del Signore,2021-08-06,Friday,6 agosto: Trasfigurazione del Signore,C75-B
Assunzione della Beata Vergine Maria,2021-08-15,Sunday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-B
Esaltazione della Santa Croce,2021-09-14,Tuesday,14 settembre: Esaltazione della Santa Croce,C78-B
Solennità di tutti i Santi,2021-11-01,Monday,1 novembre: Tutti i Santi,C79-B
Commemorazione dei defunti,2021-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-B
Commemorazione dei defunti,2021-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-B
Commemorazione dei defunti,2021-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-B
Dedicazione Basilica Lateranense,2021-11-09,Tuesday,9 novembre: Dedicazione della Basilica lateranense,C83-B
Immacolata Concezione,2021-12-08,Wednesday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-B
1° Domenica di Avvento,2022-11-27,Sunday,I domenica di Avvento,C1-C
2° Domenica di Avvento,2022-12-04,Sunday,II domenica di Avvento,C2-C
3° Domenica di Avvento - Gaudete,2022-12-11,Sunday,III domenica di Avvento,C3-C
4° Domenica di Avvento,2022-12-18,Sunday,IV domenica di Avvento,C4-C
Natale del Signore,2022-12-25,Sunday,Natale del Signore – Messa del giorno,C8-C
Festa della Sacra Famiglia,2022-12-30,Friday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-C
Maria Santissima Madre di Dio,2022-01-01,Saturday,Solennità di Maria SS Madre di Dio,C10-C
Epifania del Signore,2022-01-06,Thursday,Epifania del Signore,C12-C
Battesimo del Signore,2022-01-09,Sunday,Battesimo del Signore,C13-C
1° Domenica di Quaresima,2022-03-06,Sunday,I domenica di Quaresima,C14-C
2° Domenica di Quaresima,2022-03-13,Sunday,II domenica di Quaresima,C15-C
3° Domenica di Quaresima,2022-03-20,Sunday,III domenica di Quaresima,C16-C
Domenica Laetare,2022-03-27,Sunday,IV domenica di Quaresima,C17-C
5° Domenica di Quaresima,2022-04-03,Sunday,V domenica di Quaresima,C18-C
Domenica delle Palme,2022-04-10,Sunday,Domenica delle Palme: Passione del Signore,C19-C
Giovedì Santo (Messa del Crisma),2022-04-14,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-C
Giovedì Santo (In Cena Domini),2022-04-14,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-C
Venerdì Santo (Passione del Signore),2022-04-15,Friday,Venerdì Santo «Passione del Signore»,C22-C
Pasqua - Risurrezione del Signore,2022-04-17,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-C
