anno,date,weekday,evento,tipo_evento
2020,2020-07-25,Saturday,San Giacomo,Festa
2020,2020-07-26,Sunday,17° D.T.O.,Domenica
2020,2020-08-02,Sunday,18° D.T.O.,Domenica
2020,2020-08-06,Thursday,Trasfigurazione del Signore,Festa
2020,2020-08-09,Sunday,19° D.T.O.,Domenica
2020,2020-08-15,Saturday,Assunzione della Beata Vergine Maria,Solennità
2020,2020-08-16,Sunday,20° D.T.O.,Domenica
2020,2020-08-23,Sunday,21° D.T.O.,Domenica
2020,2020-08-30,Sunday,22° D.T.O.,Domenica
2020,2020-09-06,Sunday,23° D.T.O.,Domenica
2020,2020-09-08,Tuesday,Natività della Beata Vergine Maria,Festa
2020,2020-09-12,Saturday,Santissimo nome di Maria,Festa
2020,2020-09-13,Sunday,24° D.T.O.,Domenica
2020,2020-09-14,Monday,Esaltazione della Santa Croce,Festa
2020,2020-09-20,Sunday,25° D.T.O.,Domenica
2020,2020-09-27,Sunday,26° D.T.O.,Domenica
2020,2020-10-04,Sunday,27° D.T.O.,Domenica
2020,2020-10-07,Wednesday,Madonna del Rosario,Memoria
2020,2020-10-11,Sunday,28° D.T.O.,Domenica
2020,2020-10-18,Sunday,29° D.T.O.,Domenica
2020,2020-10-24,Saturday,Inizio Novena dei morti,Novena
2020,2020-10-25,Sunday,30° D.T.O.,Domenica
2020,2020-11-01,Sunday,Solennità di tutti i Santi,Solennità
2020,2020-11-02,Monday,Commemorazione dei defunti,Comm.
2020,2020-11-08,Sunday,32° D.T.O.,Domenica
2020,2020-11-09,Monday,Dedicazione Basilica Lateranense,Festa
2020,2020-11-15,Sunday,33° D.T.O.,Domenica
2020,2020-11-21,Saturday,Presentazione della Beata Vergine Maria,Memoria
2020,2020-11-22,Sunday,34° D.T.O. - Solennità di Cristo Re,Solennità
2020,2020-11-22,Sunday,Santa Cecilia patrona musica,Memoria
2020,2020-11-29,Sunday,1° Domenica di Avvento,Domenica
2020,2020-11-29,Sunday,Inizio Novena all'immacolata,Novena
2020,2020-12-06,Sunday,2° Domenica di Avvento,Domenica
2020,2020-12-08,Tuesday,Immacolata Concezione,Solennità
2020,2020-12-10,Thursday,Madonna di Loreto,Memoria
2020,2020-12-13,Sunday,3° Domenica di Avvento - Gaudete,Domenica
2020,2020-12-13,Sunday,Santa Lucia,Memoria
2020,2020-12-16,Wednesday,Inizio Novena di Natale,Novena
2020,2020-12-20,Sunday,4° Domenica di Avvento,Domenica
2020,2020-12-25,Friday,Natale del Signore,Solennità
2020,2020-12-26,Saturday,Santo Stefano,Festa
2020,2020-12-27,Sunday,Festa della Sacra Famiglia,Festa
2020,2020-12-31,Thursday,Messa di Ringraziamento,Feria
2021,2021-01-01,Friday,Maria Santissima Madre di Dio,Solennità
2021,2021-01-01,Friday,Giornata mondiale della pace,Festa
2021,2021-01-03,Sunday,Santissimo nome di Gesù,Memoria
2021,2021-01-06,Wednesday,Epifania del Signore,Festa
2021,2021-01-10,Sunday,Battesimo del Signore,Festa
2021,2021-01-17,Sunday,2° D.T.O.,Domenica
2021,2021-01-24,Sunday,3° D.T.O.,Domenica
2021,2021-01-25,Monday,Conversione di San Paolo apostolo,Solennità
2021,2021-01-31,Sunday,4° D.T.O.,Domenica
2021,2021-02-02,Tuesday,Presentazione del Signore (Candelora),Festa
2021,2021-02-07,Sunday,5° D.T.O.,Domenica
2021,2021-02-11,Thursday,Madonna di Lourdes,Feria
2021,2021-02-14,Sunday,6° D.T.O.,Domenica
2021,2021-02-17,Wednesday,Mercoledì delle ceneri,Solennità
2021,2021-02-21,Sunday,1° Domenica di Quaresima,Domenica
2021,2021-02-22,Monday,Cattedra di San Pietro Apostolo,Festa
2021,2021-02-28,Sunday,2° Domenica di Quaresima,Domenica
2021,2021-03-07,Sunday,3° Domenica di Quaresima,Domenica
2021,2021-03-14,Sunday,Domenica Laetare,Domenica
2021,2021-03-19,Friday,Solennità di San Giuseppe,Solennità
2021,2021-03-21,Sunday,5° Domenica di Quaresima,Domenica
2021,2021-03-25,Thursday,Festa dell'Annunciazione,Festa
2021,2021-03-28,Sunday,Domenica delle Palme,Domenica
2021,2021-03-29,Monday,Lunedì della settimana Santa,Feria
2021,2021-03-30,Tuesday,Martedì della settimana Santa,Feria
2021,2021-03-31,Wednesday,Mercoledì della settimana Santa,Feria
2021,2021-04-01,Thursday,Giovedì Santo (Messa del Crisma),Solennità
2021,2021-04-01,Thursday,Giovedì Santo (In Cena Domini),Solennità
2021,2021-04-02,Friday,Venerdì Santo (Passione del Signore),Solennità
2021,2021-04-02,Friday,Inizio Novena alla Divina Misericordia,Novena
2021,2021-04-03,Saturday,Sabato Santo,Solennità
2021,2021-04-04,Sunday,Pasqua - Risurrezione del Signore,Solennità
2021,2021-04-05,Monday,Lunedì dell'Angelo,Feria
