anno,evento,date,weekday,celebrazione,id_celebrazione,ciclo_domenicale,id_liturgia
2020,Domenica Laetare,2020-03-22,Sunday,IV domenica di Quaresima,C17,A,C17-A
2020,5° Domenica di Quaresima,2020-03-29,Sunday,V domenica di Quaresima,C18,A,C18-A
2020,Domenica delle Palme,2020-04-05,Sunday,Domenica delle Palme: Passione del Signore,C19,A,C19-A
2020,Giovedì Santo (Messa del Crisma),2020-04-09,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20,A,C20-A
2020,Giovedì Santo (In Cena Domini),2020-04-09,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21,A,C21-A
2020,Venerdì Santo (Passione del Signore),2020-04-10,Friday,Venerdì Santo «Passione del Signore»,C22,A,C22-A
2020,Pasqua - Risurrezione del Signore,2020-04-12,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24,A,C24-A
2020,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2020-04-19,Sunday,II domenica di Pasqua,C25,A,C25-A
2020,3° Domenica di Pasqua (Misericordias Domini),2020-04-26,Sunday,III domenica di Pasqua,C26,A,C26-A
2020,4° Domenica di Pasqua (Jubilate),2020-05-03,Sunday,IV domenica di Pasqua,C27,A,C27-A
2020,5° Domenica di Pasqua (Cantate),2020-05-10,Sunday,V domenica di Pasqua,C28,A,C28-A
2020,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2020-05-17,Sunday,VI domenica di Pasqua,C29,A,C29-A
2020,Ascensione di Gesù,2020-05-24,Sunday,Ascensione del Signore,C30,A,C30-A
2020,Pentecoste,2020-05-31,Sunday,Domenica di Pentecoste – Messa del giorno,C33,A,C33-A
2020,Solennità della Santissima Trinità,2020-06-07,Sunday,Solennità della SS Trinità,C34,A,C34-A
2020,Santissimo Corpo e Sangue di Cristo,2020-06-14,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35,A,C35-A
2020,Santissimo Cuore di Gesù,2020-06-19,Friday,Solennità del Sacratissimo Cuore di Gesù,C36,A,C36-A
2020,2° D.T.O.,2020-01-19,Sunday,II domenica del Tempo Ordinario,C37,A,C37-A
2020,3° D.T.O.,2020-01-26,Sunday,III domenica del Tempo Ordinario,C38,A,C38-A
2020,5° D.T.O.,2020-02-09,Sunday,V domenica del Tempo Ordinario,C40,A,C40-A
2020,6° D.T.O.,2020-02-16,Sunday,VI domenica del Tempo Ordinario,C41,A,C41-A
2020,7° D.T.O.,2020-02-23,Sunday,VII domenica del Tempo Ordinario,C42,A,C42-A
2020,12° D.T.O.,2020-06-21,Sunday,XII domenica del Tempo Ordinario,C47,A,C47-A
2020,13° D.T.O.,2020-06-28,Sunday,XIII domenica del Tempo Ordinario,C48,A,C48-A
2020,14° D.T.O.,2020-07-05,Sunday,XIV domenica del Tempo Ordinario,C49,A,C49-A
2020,15° D.T.O.,2020-07-12,Sunday,XV domenica del Tempo Ordinario,C50,A,C50-A
2020,16° D.T.O.,2020-07-19,Sunday,XVI domenica del Tempo Ordinario,C51,A,C51-A
2020,17° D.T.O.,2020-07-26,Sunday,XVII domenica del Tempo Ordinario,C52,A,C52-A
2020,18° D.T.O.,2020-08-02,Sunday,XVIII domenica del Tempo Ordinario,C53,A,C53-A
2020,19° D.T.O.,2020-08-09,Sunday,XIX domenica del Tempo Ordinario,C54,A,C54-A
2020,20° D.T.O.,2020-08-16,Sunday,XX domenica del Tempo Ordinario,C55,A,C55-A
2020,21° D.T.O.,2020-08-23,Sunday,XXI domenica del Tempo Ordinario,C56,A,C56-A
2020,22° D.T.O.,2020-08-30,Sunday,XXII domenica del Tempo Ordinario,C57,A,C57-A
2020,23° D.T.O.,2020-09-06,Sunday,XXIII domenica del Tempo Ordinario,C58,A,C58-A
2020,24° D.T.O.,2020-09-13,Sunday,XXIV domenica del Tempo Ordinario,C59,A,C59-A
2020,25° D.T.O.,2020-09-20,Sunday,XXV domenica del Tempo Ordinario,C60,A,C60-A
2020,26° D.T.O.,2020-09-27,Sunday,XXVI domenica del Tempo Ordinario,C61,A,C61-A
2020,27° D.T.O.,2020-10-04,Sunday,XXVII domenica del Tempo Ordinario,C62,A,C62-A
2020,28° D.T.O.,2020-10-11,Sunday,XXVIII domenica del Tempo Ordinario,C63,A,C63-A
2020,29° D.T.O.,2020-10-18,Sunday,XXIX domenica del Tempo Ordinario,C64,A,C64-A
2020,30° D.T.O.,2020-10-25,Sunday,XXX domenica del Tempo Ordinario,C65,A,C65-A
2020,32° D.T.O.,2020-11-08,Sunday,XXXII domenica del Tempo Ordinario,C67,A,C67-A
2020,33° D.T.O.,2020-11-15,Sunday,XXXIII domenica del Tempo Ordinario,C68,A,C68-A
2020,34° D.T.O. - Solennità di Cristo Re,2020-11-22,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69,A,C69-A
2020,Presentazione del Signore (Candelora),2020-02-02,Sunday,2 febbraio: Presentazione del Signore,C70,A,C70-A
2020,Natività di San Giovanni Battista,2020-06-24,Wednesday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72,A,C72-A
2020,Santi Pietro e Paolo Apostoli,2020-06-29,Monday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74,A,C74-A
2020,Trasfigurazione del Signore,2020-08-06,Thursday,6 agosto: Trasfigurazione del Signore,C75,A,C75-A
2020,Assunzione della Beata Vergine Maria,2020-08-15,Saturday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77,A,C77-A
2020,Esaltazione della Santa Croce,2020-09-14,Monday,14 settembre: Esaltazione della Santa Croce,C78,A,C78-A
2020,Solennità di tutti i Santi,2020-11-01,Sunday,1 novembre: Tutti i Santi,C79,A,C79-A
2020,Commemorazione dei defunti,2020-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80,A,C80-A
2020,Commemorazione dei defunti,2020-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81,A,C81-A
2020,Commemorazione dei defunti,2020-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82,A,C82-A
2020,Dedicazione Basilica Lateranense,2020-11-09,Monday,9 novembre: Dedicazione della Basilica lateranense,C83,A,C83-A
2020,Immacolata Concezione,2020-12-08,Tuesday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84,A,C84-A
2020,Giornata mondiale della pace,2020-01-01,Wednesday,,,A,-A
2020,Santissimo nome di Gesù,2020-01-03,Friday,,,A,-A
2020,Conversione di San Paolo apostolo,2020-01-25,Saturday,,,A,-A
2020,Madonna di Lourdes,2020-02-11,Tuesday,,,A,-A
2020,Cattedra di San Pietro Apostolo,2020-02-22,Saturday,,,A,-A
2020,Mercoledì delle ceneri,2020-02-26,Wednesday,,,A,-A
2020,Solennità di San Giuseppe,2020-03-19,Thursday,,,A,-A
2020,Festa dell'Annunciazione,2020-03-25,Wednesday,,,A,-A
2020,Lunedì della settimana Santa,2020-04-06,Monday,,,A,-A
2020,Martedì della settimana Santa,2020-04-07,Tuesday,,,A,-A
2020,Mercoledì della settimana Santa,2020-04-08,Wednesday,,,A,-A
2020,Inizio Novena alla Divina Misericordia,2020-04-10,Friday,,,A,-A
2020,Sabato Santo,2020-04-11,Saturday,,,A,-A
2020,Lunedì dell'Angelo,2020-04-13,Monday,,,A,-A
2020,San Giuseppe Lavoratore,2020-05-01,Friday,,,A,-A
2020,Visitazione della Beata Vergine Maria,2020-05-31,Sunday,,,A,-A
2020,Inizio Novena di Pentecoste,2020-05-22,Friday,,,A,-A
2020,Beata Vergine Maria del Monte Carmelo,2020-07-16,Thursday,,,A,-A
2020,San Giacomo,2020-07-25,Saturday,,,A,-A
2020,Natività della Beata Vergine Maria,2020-09-08,Tuesday,,,A,-A
2020,Santissimo nome di Maria,2020-09-12,Saturday,,,A,-A
2020,Madonna del Rosario,2020-10-07,Wednesday,,,A,-A
2020,Inizio Novena dei morti,2020-10-24,Saturday,,,A,-A
2020,Presentazione della Beata Vergine Maria,2020-11-21,Saturday,,,A,-A
2020,Santa Cecilia patrona musica,2020-11-22,Sunday,,,A,-A
2020,Inizio Novena all'immacolata,2020-11-29,Sunday,,,A,-A
2020,Madonna di Loreto,2020-12-10,Thursday,,,A,-A
2020,Santa Lucia,2020-12-13,Sunday,,,A,-A
2020,Inizio Novena di Natale,2020-12-16,Wednesday,,,A,-A
2020,Santo Stefano,2020-12-26,Saturday,,,A,-A
2020,Messa di Ringraziamento,2020-12-31,Thursday,,,A,-A
2021,1° Domenica di Avvento,2021-11-28,Sunday,I domenica di Avvento,C1,B,C1-B
2021,2° Domenica di Avvento,2021-12-05,Sunday,II domenica di Avvento,C2,B,C2-B
2021,3° Domenica di Avvento - Gaudete,2021-12-12,Sunday,III domenica di Avvento,C3,B,C3-B
2021,4° Domenica di Avvento,2021-12-19,Sunday,IV domenica di Avvento,C4,B,C4-B
2021,Natale del Signore,2021-12-25,Saturday,Natale del Signore – Messa del giorno,C8,B,C8-B
2021,Festa della Sacra Famiglia,2021-12-26,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9,B,C9-B
2021,Maria Santissima Madre di Dio,2021-01-01,Friday,Solennità di Maria SS Madre di Dio,C10,B,C10-B
2021,2° domenica dopo natale,2021-01-03,Sunday,II domenica dopo Natale,C11,B,C11-B
2021,Epifania del Signore,2021-01-06,Wednesday,Epifania del Signore,C12,B,C12-B
2021,Battesimo del Signore,2021-01-10,Sunday,Battesimo del Signore,C13,B,C13-B
2021,1° Domenica di Quaresima,2021-02-21,Sunday,I domenica di Quaresima,C14,B,C14-B
2021,2° Domenica di Quaresima,2021-02-28,Sunday,II domenica di Quaresima,C15,B,C15-B
2021,3° Domenica di Quaresima,2021-03-07,Sunday,III domenica di Quaresima,C16,B,C16-B
2021,Domenica Laetare,2021-03-14,Sunday,IV domenica di Quaresima,C17,B,C17-B
2021,5° Domenica di Quaresima,2021-03-21,Sunday,V domenica di Quaresima,C18,B,C18-B
2021,Domenica delle Palme,2021-03-28,Sunday,Domenica delle Palme: Passione del Signore,C19,B,C19-B
2021,Giovedì Santo (Messa del Crisma),2021-04-01,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20,B,C20-B
2021,Giovedì Santo (In Cena Domini),2021-04-01,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21,B,C21-B
2021,Venerdì Santo (Passione del Signore),2021-04-02,Friday,Venerdì Santo «Passione del Signore»,C22,B,C22-B
