testo,pagina
"SECONDA LETTURA Dalla lettera agli Ebrei 1, 1-6 Dio, che molte volte e in diversi modi nei tempi antizo del Figlio, che ha stabilito erede di tutte le cose e medianEgli è irradiazione della sua gloria e impronta della sua soInfatti, a quale degli angeli Dio ha mai detto: «Tu sei mio fiParola di Dio.",59
"CANTO AL VANGELO Alleluia, alleluia. Un giorno santo è spuntato per noi: Alleluia. VANGELO Il Verbo si fece carne Dal Vangelo secondo Giovanni 1, 1-18 In principio era il Verbo, Egli era, in principio, presso Dio: e senza di lui nulla è stato fatto di ciò che esiste. In lui era la vita",60
"Venne un uomo mandato da Dio: Veniva nel mondo la luce vera, A quanti però lo hanno accolto E il Verbo si fece carne Giovanni gli dà testimonianza e proclama:",61
"Colui che viene dopo di me Dalla sua pienezza Dio, nessuno lo ha mai visto: Parola del Signore.",62
"Forma breve: Il Verbo si fece carne Dal Vangelo secondo Giovanni 1, 1-5.9-14 In principio era il Verbo, Egli era, in principio, presso Dio: e senza di lui nulla è stato fatto di ciò che esiste. In lui era la vita Veniva nel mondo la luce vera, A quanti però lo hanno accolto",63
"né da volere di uomo, E il Verbo si fece carne Parola del Signore.",64
"SANTA FAMIGLIA DI GESÙ PRIMA LETTURA Dal libro della Gènesi 15, 1-6; 21, 1-3 In quei giorni, fu rivolta ad Abram, in visione, questa spose Abram: «Signore Dio, che cosa mi darai? Io me ne vado Poi lo condusse fuori e gli disse: «Guarda in cielo e conta le Il Signore visitò Sara, come aveva detto, e fece a Sara come Parola di Dio.",65
"SALMO RESPONSORIALE Il Signore è fedele al suo patto. Rendete grazie al Signore e invocate il suo nome, Gloriatevi del suo santo nome: Ricordate le meraviglie che ha compiuto, Si è sempre ricordato della sua alleanza,",66
"SECONDA LETTURA Dalla lettera agli Ebrei 11, 8.11-12.17-19 Fratelli, per fede, Abramo, chiamato da Dio, obbedì Per fede, anche Sara, sebbene fuori dell’età, ricevette la posPer fede, Abramo, messo alla prova, offrì Isacco, e proprio lui, Parola di Dio.",67
"CANTO AL VANGELO Alleluia, alleluia. Molte volte e in diversi modi nei tempi antichi Alleluia. VANGELO Il bambino cresceva pieno di sapienza. Dal Vangelo secondo Luca 2, 22-40 Quando furono compiuti i giorni della loro purifie per offrire in sacrificio una coppia di tortore o due giovani",68
"Ora a Gerusalemme c’era un uomo di nome Simeone, uomo Il padre e la madre di Gesù si stupivano delle cose che si diC’era anche una profetessa, Anna, figlia di Fanuèle, della Quando ebbero adempiuto ogni cosa secondo la legge del Si-",69
