testo,pagina
"Oppure: Il Signore scese sul monte Sinai Dal libro dell’Èsodo 19, 3-8a.16-20b In quei giorni, Mosè salì verso Dio, e il Signore lo “Voi stessi avete visto ciò che io ho fatto all’Egitto e come ho Mosè andò, convocò gli anziani del popolo e riferì loro tutte Il terzo giorno, sul far del mattino, vi furono tuoni e lampi, Il monte Sinai era tutto fumante, perché su di esso era sce-",274
"Sinai, sulla vetta del monte, e il Signore chiamò Mosè sulla Parola di Dio. SALMO RESPONSORIALE La grazia del Signore è su quanti lo temono. Benedici il Signore, anima mia, Egli perdona tutte le tue colpe, Il Signore compie cose giuste, Ma l’amore del Signore è da sempre, Oppure: Dal Salmo 103 (104) (vedi pag. 236)",275
"Oppure: Ossa inaridite, infonderò in voi il mio spirito Dal libro del profeta Ezechièle 37, 1-14 In quei giorni, la mano del Signore fu sopra di me e il to a esse da ogni parte. Vidi che erano in grandissima quanMi disse: «Figlio dell’uomo, potranno queste ossa rivivere?». Egli aggiunse: «Profetizza allo spirito, profetizza, figlio del-",276
"Mi disse: «Figlio dell’uomo, queste ossa sono tutta la casa Parola di Dio.",277
"SALMO RESPONSORIALE Rinnovami, Signore, con la tua grazia. Pietà di me, o Dio, nel tuo amore; Tu gradisci la sincerità nel mio intimo, Crea in me, o Dio, un cuore puro, Rendimi la gioia della tua salvezza, Oppure: Dal Salmo 103 (104) (vedi pag. 236)",278
"Oppure: Io effonderò il mio spirito sopra ogni uomo. Dal libro del profeta Gioèle 3, 1-5 Così dice il Signore: e diverranno profeti i vostri figli e le vostre figlie; Farò prodigi nel cielo e sulla terra, Chiunque invocherà il nome del Signore, Parola di Dio.",279
"SALMO RESPONSORIALE Manda il tuo Spirito, Signore, a rinnovare la terra. Oppure: Alleluia, alleluia, alleluia. Benedici il Signore, anima mia! Quante sono le tue opere, Signore! Tutti da te aspettano Togli loro il respiro: muoiono,",280
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Romani 8, 22-27 Fratelli, sappiamo che tutta insieme la creazione geSpirito, gemiamo interiormente aspettando l’adozione a figli, Ora, ciò che si spera, se è visto, non è più oggetto di speranAllo stesso modo anche lo Spirito viene in aiuto alla nostra Parola di Dio.",281
"CANTO AL VANGELO Alleluia, alleluia. Vieni, Spirito Santo, Alleluia. VANGELO Sgorgheranno fiumi di acqua viva. Dal Vangelo secondo Giovanni 7, 37-39 Nell’ultimo giorno, il grande giorno della festa, Questo egli disse dello Spirito che avrebbero ricevuto i creParola del Signore.",282
"DOMENICA Alla Messa del giorno PRIMA LETTURA Tutti furono colmati di Spirito Santo Dagli Atti degli Apostoli 2, 1-11 Mentre stava compiendosi il giorno della Pentecoste, che si abbatte impetuoso, e riempì tutta la casa dove stavaAbitavano allora a Gerusalemme Giudei osservanti, di ogni",283
"cino a Cirène, Romani qui residenti, Giudei e prosèliti, CreteParola di Dio. SALMO RESPONSORIALE Manda il tuo Spirito, Signore, a rinnovare la terra. Oppure: Alleluia, alleluia, alleluia. Benedici il Signore, anima mia! Togli loro il respiro: muoiono, Sia per sempre la gloria del Signore;",284
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Gàlati 5, 16-25 Fratelli, camminate secondo lo Spirito e non sarete desideri contrari alla carne; queste cose si oppongono a viMa se vi lasciate guidare dallo Spirito, non siete sotto la LegQuelli che sono di Cristo Gesù hanno crocifisso la carne con le Parola di Dio.",287
"SEQUENZA Veni, Sancte Spíritus, Vieni, Santo Spirito, Veni, pater páuperum, Vieni, padre dei poveri, Consolátor óptime, Consolatore perfetto, In labóre réquies, Nella fatica, riposo, O lux beatíssima, O luce beatissima, Sine tuo númine, Senza la tua forza, Lava quod est sórdidum, Lava ciò che è sórdido, Flecte quod est rígidum, Piega ciò che è rigido, Da tuis fidélibus, Dona ai tuoi fedeli, Da virtútis méritum, Dona virtù e premio,",288
"CANTO AL VANGELO Alleluia, alleluia. Vieni, Santo Spirito, Alleluia. VANGELO Lo Spirito di verità vi guiderà a tutta la verità. Dal Vangelo secondo Giovanni 15, 26-27; 16, 12-15 In quel tempo, Gesù disse ai suoi discepoli: «Quando verrà il Paràclito, che io vi manderò dal Padre, lo Spirito della verità che procede me fin dal principio. Molte cose ho ancora da dirvi, ma per il momento non siete",289
"stesso, ma dirà tutto ciò che avrà udito e vi annuncerà le coParola del Signore. Nei luoghi dove, per consuetudine, i fedeli partecipano alla Messa del",290
SOLENNITÀ,291
"SOLENNITÀ PRIMA LETTURA Dal libro del Deuteronòmio 4, 32-34.39-40 Mosè parlò al popolo dicendo: «Interroga pure i tempi antichi, che furono prima di un’estremità all’altra dei cieli, vi fu mai cosa grande come Sappi dunque oggi e medita bene nel tuo cuore che il Signore Parola di Dio.",293
"SALMO RESPONSORIALE Beato il popolo scelto dal Signore. Retta è la parola del Signore Dalla parola del Signore furono fatti i cieli, Ecco, l’occhio del Signore è su chi lo teme, L’anima nostra attende il Signore:",294
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Romani 8, 14-17 Fratelli, tutti quelli che sono guidati dallo Spirito di avete ricevuto lo Spirito che rende figli adottivi, per mezzo Lo Spirito stesso, insieme al nostro spirito, attesta che siamo Parola di Dio. CANTO AL VANGELO Cf. Ap 1, 8 Alleluia, alleluia. Gloria al Padre e al Figlio e allo Spirito Santo, Alleluia.",295
"VANGELO Dal Vangelo secondo Matteo 28, 16-20 In quel tempo, gli undici discepoli andarono in Quando lo videro, si prostrarono. Essi però duGesù si avvicinò e disse loro: «A me è stato dato ogni potere in cielo e sulla terra. Andate dunque e fate diParola del Signore.",296
"SOLENNITÀ DEL SS. CORPO PRIMA LETTURA Ecco il sangue dell’alleanza Dal libro dell’Èsodo 24, 3-8 In quei giorni, Mosè andò a riferire al popolo tutte le menti che il Signore ha dato, noi li eseguiremo!». Mosè scrisse tutte le parole del Signore. Si alzò di buon matMosè prese la metà del sangue e la mise in tanti catini e ne Mosè prese il sangue e ne asperse il popolo, dicendo: «Ecco il Parola di Dio.",297
"SALMO RESPONSORIALE Alzerò il calice della salvezza e invocherò Che cosa renderò al Signore, Agli occhi del Signore è preziosa A te offrirò un sacrificio di ringraziamento",298
"SECONDA LETTURA Dalla lettera agli Ebrei 9, 11-15 Fratelli, Cristo è venuto come sommo sacerdote dei appartenente a questa creazione. Egli entrò una volta per Infatti, se il sangue dei capri e dei vitelli e la cenere di una Per questo egli è mediatore di un’alleanza nuova, perché, esParola di Dio.",299
"SEQUENZA La sequenza è facoltativa e si può cantare o recitare anche nella forma breSe la sequenza viene omessa, segue il CANTO AL VANGELO. [ [ Quantum potes, tantum aude: Impegna tutto il tuo fervore: Laudis thema speciális, Pane vivo, che dà vita: Quem in sacrae mensa cenae, Veramente fu donato Sit laus plena, sit sonóra, Lode piena e risonante, Dies enim sollémnis ágitur, Questa è la festa solenne In hac mensa novi Regis, È il banchetto del nuovo Re, Vetustátem nóvitas, Cede al nuovo il rito antico, Quod in cena Christus gessit, Cristo lascia in sua memoria",300
"Docti sacris institútis, Obbedienti al suo comando, Dogma datur christiánis, È certezza a noi cristiani: Quod non capis, quod non vides, Tu non vedi, non comprendi, Sub divérsis speciébus, È un segno ciò che appare: Caro cibus, sanguis potus: Mangi carne, bevi sangue; A suménte non concísus, Chi ne mangia non lo spezza, Sumit unus, sumunt mille: Siano uno, siano mille, Sumunt boni, sumunt mali: Vanno i buoni, vanno gli empi; Mors est malis, vita bonis: Vita ai buoni, morte agli empi: Fracto demum sacraménto, Quando spezzi il sacramento",301
"Nulla rei fit scissúra, È diviso solo il segno Ecce panis angelórum, Ecco il pane degli angeli, In figúris praesignátur, Con i simboli è annunziato, Bone pastor, panis vere, Buon pastore, vero pane, Tu qui cuncta scis et vales, Tu che tutto sai e puoi, CANTO AL VANGELO Alleluia, alleluia. Io sono il pane vivo, disceso dal cielo, dice il Signore, Alleluia.",302
"VANGELO Dal Vangelo secondo Marco 14, 12-16.22-26 Il primo giorno degli àzzimi, quando si immolaAllora mandò due dei suoi discepoli, dicendo loro: «Andate in città e vi verrà incontro un uomo con una I discepoli andarono e, entrati in città, trovarono come aveva Mentre mangiavano, prese il pane e recitò la benedizione, lo Dopo aver cantato l’inno, uscirono verso il monte degli Ulivi. Parola del Signore.",303
"SOLENNITÀ DEL SACRATISSIMO PRIMA LETTURA Dal libro del profeta Osèa 11, 1.3-4.8c-9 Quando Israele era fanciullo, A Èfraim io insegnavo a camminare Io li traevo con legami di bontà, Il mio cuore si commuove dentro di me,",304
"sono il Santo in mezzo a te Parola di Dio. SALMO RESPONSORIALE Attingeremo con gioia alle sorgenti della salvezza. Ecco, Dio è la mia salvezza; Attingerete acqua con gioia Cantate inni al Signore, perché ha fatto cose eccelse,",305
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 3, 8-12.14-19 Fratelli, a me, che sono l’ultimo fra tutti i santi, è sulla attuazione del mistero nascosto da secoli in Dio, creatoPer questo io piego le ginocchia davanti al Padre, dal quale ha Parola di Dio.",306
"CANTO AL VANGELO Alleluia, alleluia. Prendete il mio giogo sopra di voi, dice il Signore, Alleluia. Oppure: Alleluia, alleluia. Dio ha amato noi e ha mandato il suo Figlio Alleluia.",307
"VANGELO Dal Vangelo secondo Giovanni 19, 31-37 Era il giorno della Parascève e i Giudei, perché i Vennero dunque i soldati e spezzarono le gambe all’uno e alChi ha visto ne dà testimonianza e la sua testimonianza è veParola del Signore.",308
TEMPO,309
"II DOMENICA PRIMA LETTURA Dal primo libro di Samuèle 3, 3b-10.19 In quei giorni, Samuèle dormiva nel tempio del SiAllora il Signore chiamò: «Samuèle!» ed egli rispose: «Eccomi», poi corse da Eli e gli disse: «Mi hai chiamato, ecMa il Signore chiamò di nuovo: «Samuèle!»; Samuèle si alzò e Il Signore tornò a chiamare: «Samuèle!» per la terza volta; Venne il Signore, stette accanto a lui e lo chiamò come le al-",311
"«Parla, perché il tuo servo ti ascolta». Samuèle crebbe e il Signore fu con lui, né lasciò andare a Parola di Dio. SALMO RESPONSORIALE Ecco, Signore, io vengo per fare la tua volontà. Ho sperato, ho sperato nel Signore, Sacrificio e offerta non gradisci, «Nel rotolo del libro su di me è scritto Ho annunciato la tua giustizia",312
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 6, 13c-15a.17-20 Fratelli, il corpo non è per l’impurità, ma per il SignoNon sapete che i vostri corpi sono membra di Cristo? Chi si Parola di Dio. CANTO AL VANGELO Gv 1, 41.17b Alleluia, alleluia. «Abbiamo trovato il Messia»: Alleluia.",313
"VANGELO Dal Vangelo secondo Giovanni 1, 35-42 In quel tempo Giovanni stava con due dei suoi Gesù allora si voltò e, osservando che essi lo seguivano, disUno dei due che avevano udito le parole di Giovanni e lo Parola del Signore.",314
"III DOMENICA PRIMA LETTURA Dal libro del profeta Giona 3, 1-5.10 Fu rivolta a Giona questa parola del Signore: «Àlzati, rola del Signore. Nìnive era una città molto grande, larga tre giornate di camI cittadini di Nìnive credettero a Dio e bandirono un digiuno, Dio vide le loro opere, che cioè si erano convertiti dalla loro Parola di Dio.",315
"SALMO RESPONSORIALE Fammi conoscere, Signore, le tue vie. Fammi conoscere, Signore, le tue vie, Ricòrdati, Signore, della tua misericordia Buono e retto è il Signore,",316
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 7, 29-31 Questo vi dico, fratelli: il tempo si è fatto breve; d’opiangessero; quelli che gioiscono, come se non gioissero; Parola di Dio. CANTO AL VANGELO Mc 1, 15 Alleluia, alleluia. Il regno di Dio è vicino; Alleluia.",317
"VANGELO Dal Vangelo secondo Marco 1, 14-20 Dopo che Giovanni fu arrestato, Gesù andò nella Passando lungo il mare di Galilea, vide Simone e Andrea, fratello di Simone, mentre gettavano le reti in maAndando un poco oltre, vide Giacomo, figlio di Zebedèo, e Parola del Signore.",318
"IV DOMENICA PRIMA LETTURA Dal libro del Deuteronòmio 18, 15-20 Mosè parlò al popolo dicendo: «Il Signore, tuo Dio, susciterà per te, in mezzo a rete ascolto. Avrai così quanto hai chiesto al Signore, tuo Dio, sull’Oreb, il Il Signore mi rispose: “Quello che hanno detto, va bene. Io Parola di Dio.",319
"SALMO RESPONSORIALE Ascoltate oggi la voce del Signore. Venite, cantiamo al Signore, Entrate: prostràti, adoriamo, Se ascoltaste oggi la sua voce!",320
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 7, 32-35 Fratelli, io vorrei che foste senza preoccupazioni: chi si preoccupa delle cose del mondo, come possa piacere alla Così la donna non sposata, come la vergine, si preoccupa delQuesto lo dico per il vostro bene: non per gettarvi un laccio, Parola di Dio. CANTO AL VANGELO Mt 4, 16 Alleluia, alleluia. Il popolo che abitava nelle tenebre Alleluia.",321
"VANGELO Dal Vangelo secondo Marco 1, 21-28 In quel tempo, Gesù, entrato di sabato nella siEd ecco, nella loro sinagoga vi era un uomo posseduto da uno Tutti furono presi da timore, tanto che si chiedevano a vicenda: La sua fama si diffuse subito dovunque, in tutta la regione Parola del Signore.",322
"V DOMENICA PRIMA LETTURA Dal libro di Giobbe 7, 1-4.6-7 Giobbe parlò e disse: «L’uomo non compie forse un duro servizio sulla terra Come lo schiavo sospira l’ombra Se mi corico dico: “Quando mi alzerò?” La notte si fa lunga e sono stanco di rigirarmi fino all’alba. I miei giorni scorrono più veloci d’una spola, Ricòrdati che un soffio è la mia vita: Parola di Dio.",325
"SALMO RESPONSORIALE Risanaci, Signore, Dio della vita. È bello cantare inni al nostro Dio, Risana i cuori affranti Grande è il Signore nostro,",326
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 9, 16-19.22-23 Fratelli, annunciare il Vangelo non è per me un vanto, Se lo faccio di mia iniziativa, ho diritto alla ricompensa; ma Infatti, pur essendo libero da tutti, mi sono fatto servo di Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. Cristo ha preso le nostre infermità Alleluia.",327
"VANGELO Guarì molti che erano affetti da varie malattie. Dal Vangelo secondo Marco 1, 29-39 In quel tempo, Gesù, uscito dalla sinagoga, suella li serviva. Venuta la sera, dopo il tramonto del sole, gli portavano tutti i Al mattino presto si alzò quando ancora era buio e, uscito, si E andò per tutta la Galilea, predicando nelle loro sinagoghe e Parola del Signore.",328
"VI DOMENICA PRIMA LETTURA Dal libro del Levìtico 13, 1-2.45-46 Il Signore parlò a Mosè e ad Aronne e disse: «Se qualcuno ha sulla pelle del corpo un tumore o una piaga di lebbra, quel tale sarà condotto dal sacerdote Il lebbroso colpito da piaghe porterà vesti strappate e il capo Sarà impuro finché durerà in lui il male; è impuro, se ne starà Parola di Dio.",331
"SALMO RESPONSORIALE Tu sei il mio rifugio, mi liberi dall’angoscia. Beato l’uomo a cui è tolta la colpa Ti ho fatto conoscere il mio peccato, Rallegratevi nel Signore ed esultate, o giusti!",332
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 10, 31 – 11, 1 Fratelli, sia che mangiate sia che beviate sia che Non siate motivo di scandalo né ai Giudei, né ai Greci, né alla Diventate miei imitatori, come io lo sono di Cristo. Parola di Dio. CANTO AL VANGELO Lc 7, 16 Alleluia, alleluia. Un grande profeta è sorto tra noi, Alleluia.",333
"VANGELO Dal Vangelo secondo Marco 1, 40-45 In quel tempo, venne da Gesù un lebbroso, che E, ammonendolo severamente, lo cacciò via subito e gli disse: Ma quello si allontanò e si mise a proclamare e a divulgare il Parola del Signore.",334
"VII DOMENICA PRIMA LETTURA Dal libro del profeta Isaìa 43, 18-19.21-22.24b-25 Così dice il Signore: «Non ricordate più le cose passate, Ecco, io faccio una cosa nuova: Il popolo che io ho plasmato per me Io, io cancello i tuoi misfatti per amore di me stesso, Parola di Dio.",335
"SALMO RESPONSORIALE Rinnovaci, Signore, con il tuo perdono. Beato l’uomo che ha cura del debole: Il Signore lo sosterrà sul letto del dolore; Per la mia integrità tu mi sostieni",336
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 1, 18-22 Fratelli, Dio è testimone che la nostra parola verso di teo, non fu «sì» e «no», ma in lui vi fu il «sì». Infatti tutte le promesse di Dio in lui sono «sì». Per questo È Dio stesso che ci conferma, insieme a voi, in Cristo e ci ha Parola di Dio. CANTO AL VANGELO Lc 4, 18 Alleluia, alleluia. Il Signore mi ha mandato Alleluia.",337
"VANGELO Dal Vangelo secondo Marco 2, 1-12 Gesù entrò di nuovo a Cafàrnao, dopo alcuni Si recarono da lui portando un paralitico, sorretto da quattro Erano seduti là alcuni scribi e pensavano in cuor loro: «Per-",338
Quello si alzò e subito prese la sua barella e sotto gli occhi di Parola del Signore.,339
"VIII DOMENICA PRIMA LETTURA Dal libro del profeta Osèa 2, 16b.17b.21-22 Così dice il Signore: «Ecco, la condurrò nel deserto Là mi risponderà Ti farò mia sposa per sempre, Parola di Dio.",340
"SALMO RESPONSORIALE Il Signore è buono e grande nell’amore. Benedici il Signore, anima mia, Egli perdona tutte le tue colpe, Misericordioso e pietoso è il Signore, Quanto dista l’oriente dall’occidente,",341
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 3, 1b-6 Fratelli, abbiamo forse bisogno, come alcuni, di letteri, conosciuta e letta da tutti gli uomini. È noto infatti che Proprio questa è la fiducia che abbiamo per mezzo di Cristo, Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. Per sua volontà il Padre ci ha generati Alleluia.",342
"VANGELO Dal Vangelo secondo Marco 2, 18-22 In quel tempo, i discepoli di Giovanni e i farisei Gesù disse loro: «Possono forse digiunare gli invitati a nozze, Nessuno cuce un pezzo di stoffa grezza su un vestito vecchio; Parola del Signore.",343
"IX DOMENICA PRIMA LETTURA Dal libro del Deuteronòmio 5, 12-15 Così dice il Signore: «Osserva il giorno del sabato per santificarlo, come rerai e farai ogni tuo lavoro; ma il settimo giorno è il sabato Ricòrdati che sei stato schiavo nella terra d’Egitto e che il SiParola di Dio.",344
"SALMO RESPONSORIALE Esultate in Dio, nostra forza. Intonate il canto e suonate il tamburello, Questo è un decreto per Israele, Un linguaggio mai inteso io sento: Non ci sia in mezzo a te un dio estraneo",345
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 4, 6-11 Fratelli, Dio, che disse: «Rifulga la luce dalle teneNoi però abbiamo questo tesoro in vasi di creta, affinché apSempre infatti, noi che siamo vivi, veniamo consegnati alla Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. La tua parola, Signore, è verità; Alleluia.",346
"VANGELO Dal Vangelo secondo Marco 2, 23 – 3, 6 In quel tempo, di sabato Gesù passava fra campi I farisei gli dicevano: «Guarda! Perché fanno in Ed egli rispose loro: «Non avete mai letto quello che fece DaE diceva loro: «Il sabato è stato fatto per l’uomo e non l’uoEntrò di nuovo nella sinagoga. Vi era lì un uomo che aveva",347
"E i farisei uscirono subito con gli erodiani e tennero consiglio Parola del Signore. Forma breve: Il Figlio dell’uomo è signore anche del sabato. Dal Vangelo secondo Marco 2, 23-28 In quel tempo, di sabato Gesù passava fra campi I farisei gli dicevano: «Guarda! Perché fanno in Ed egli rispose loro: «Non avete mai letto quello che fece DaE diceva loro: «Il sabato è stato fatto per l’uomo e non l’uoParola del Signore.",348
"X DOMENICA PRIMA LETTURA Dal libro della Gènesi 3, 9-15 [ opo che l’uomo ebbe mangiato del frutto dell’albeho avuto paura, perché sono nudo, e mi sono nascosto». RiAllora il Signore Dio disse al serpente:",349
"Io porrò inimicizia fra te e la donna, Parola di Dio.",350
"SALMO RESPONSORIALE Il Signore è bontà e misericordia. Dal profondo a te grido, o Signore; Se consideri le colpe, Signore, Io spero, Signore; Più che le sentinelle l’aurora,",351
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 4, 13 – 5, 1 Fratelli, animati da quello stesso spirito di fede di cui che ha risuscitato il Signore Gesù, risusciterà anche noi con Per questo non ci scoraggiamo, ma, se anche il nostro uomo Sappiamo infatti che, quando sarà distrutta la nostra dimora Parola di Dio.",352
"CANTO AL VANGELO Alleluia, alleluia. Ora il principe di questo mondo sarà gettato fuori. Alleluia. VANGELO Satana è finito. Dal Vangelo secondo Marco 3, 20-35 In quel tempo, Gesù entrò in una casa e di nuoGli scribi, che erano scesi da Gerusalemme, dicevano: «Costui Ma egli li chiamò e con parabole diceva loro: «Come può Sata-",353
"stessa, quella casa non potrà restare in piedi. Anche Satana, In verità io vi dico: tutto sarà perdonato ai figli degli uomini, Giunsero sua madre e i suoi fratelli e, stando fuori, mandaroParola del Signore.",354
"XI DOMENICA PRIMA LETTURA Dal libro del profeta Ezechièle 17, 22-24 Così dice il Signore Dio: «Un ramoscello io prenderò dalla cima del cedro, e lo pianterò sopra un monte alto, imponente; Metterà rami e farà frutti Sapranno tutti gli alberi della foresta Io, il Signore, ho parlato e lo farò». Parola di Dio.",355
"SALMO RESPONSORIALE È bello rendere grazie al Signore. È bello rendere grazie al Signore Il giusto fiorirà come palma, Nella vecchiaia daranno ancora frutti,",356
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 5, 6-10 Fratelli, sempre pieni di fiducia e sapendo che siamo sione –, siamo pieni di fiducia e preferiamo andare in esilio Perciò, sia abitando nel corpo sia andando in esilio, ci sforTutti infatti dobbiamo comparire davanti al tribunale di CriParola di Dio. CANTO AL VANGELO Alleluia, alleluia. Il seme è la parola di Dio, Alleluia.",357
"VANGELO Dal Vangelo secondo Marco 4, 26-34 In quel tempo, Gesù diceva [alla folla]: «Così è pieno nella spiga; e quando il frutto è maturo, subito egli Diceva: «A che cosa possiamo paragonare il regno di Dio o Con molte parabole dello stesso genere annunciava loro la PaParola del Signore.",358
"XII DOMENICA PRIMA LETTURA Dal libro di Giobbe 38, 1.8-11 Il Signore prese a dire a Giobbe in mezzo all’uragano: «Chi ha chiuso tra due porte il mare, quando io lo vestivo di nubi Parola di Dio.",359
"SALMO RESPONSORIALE Rendete grazie al Signore, il suo amore è per sempre. Coloro che scendevano in mare sulle navi Egli parlò e scatenò un vento burrascoso, Nell’angustia gridarono al Signore, Al vedere la bonaccia essi gioirono,",360
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 5, 14-17 Fratelli, l’amore del Cristo ci possiede; e noi sappiamo vono non vivano più per se stessi, ma per colui che è morto e Cosicché non guardiamo più nessuno alla maniera umana; se Parola di Dio. CANTO AL VANGELO Lc 7, 16 Alleluia, alleluia. Un grande profeta è sorto tra noi, Alleluia.",361
"VANGELO Dal Vangelo secondo Marco 4, 35-41 In quel giorno, venuta la sera, Gesù disse ai Ci fu una grande tempesta di vento e le onde si rovesciavano Si destò, minacciò il vento e disse al mare: «Taci, calmati!». E furono presi da grande timore e si dicevano l’un l’altro: Parola del Signore.",362
"XIII DOMENICA PRIMA LETTURA Dal libro della Sapienza 1, 13-15; 2, 23-24 Dio non ha creato la morte le creature del mondo sono portatrici di salvezza, Sì, Dio ha creato l’uomo per l’incorruttibilità, Parola di Dio.",363
"SALMO RESPONSORIALE Ti esalterò, Signore, perché mi hai risollevato. Ti esalterò, Signore, perché mi hai risollevato, Cantate inni al Signore, o suoi fedeli, Ascolta, Signore, abbi pietà di me,",364
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 8, 7.9.13-15 Fratelli, come siete ricchi in ogni cosa, nella fede, che in quest’opera generosa. Conoscete infatti la grazia del Signore nostro Gesù Cristo: da Non si tratta di mettere in difficoltà voi per sollevare gli alParola di Dio. CANTO AL VANGELO Cf. 2 Tm 1, 10 Alleluia, alleluia. Il salvatore nostro Cristo Gesù ha vinto la morte Alleluia.",365
"VANGELO Dal Vangelo secondo Marco 5, 21-43 In quel tempo, essendo Gesù passato di nuovo morendo: vieni a imporle le mani, perché sia salvata e viva». Ora una donna, che aveva perdite di sangue da dodici anni e E subito Gesù, essendosi reso conto della forza che era uscita",366
"egli le disse: «Figlia, la tua fede ti ha salvata. Va’ in pace e Stava ancora parlando, quando dalla casa del capo della sinaGiunsero alla casa del capo della sinagoga ed egli vide tramParola del Signore.",369
"Forma breve: Fanciulla, io ti dico: Àlzati! Dal Vangelo secondo Marco 5, 21-24.35b-43 In quel tempo, essendo Gesù passato di nuovo in vieni a imporle le mani, perché sia salvata e viva». Andò con Dalla casa del capo della sinagoga vennero a dire: «Tua figlia è Giunsero alla casa del capo della sinagoga ed egli vide trambuParola del Signore.",370
"XIV DOMENICA PRIMA LETTURA Dal libro del profeta Ezechièle 2, 2-5 In quei giorni, uno spirito entrò in me, mi fece alzare Mi disse: «Figlio dell’uomo, io ti mando ai figli d’Israele, a una razza di ribelli, che si sono rivoltati contro di Parola di Dio.",371
"SALMO RESPONSORIALE I nostri occhi sono rivolti al Signore. A te alzo i miei occhi, Come gli occhi di una schiava Pietà di noi, Signore, pietà di noi,",372
"SECONDA LETTURA Dalla seconda lettera di san Paolo apostolo ai Corìnzi 12, 7-10 Fratelli, affinché io non monti in superbia, è stata daA causa di questo per tre volte ho pregato il Signore che l’alParola di Dio. CANTO AL VANGELO Cf. Lc 4, 18 Alleluia, alleluia. Lo Spirito del Signore è sopra di me: Alleluia.",373
"VANGELO Dal Vangelo secondo Marco 6, 1-6 In quel tempo, Gesù venne nella sua patria e i Giunto il sabato, si mise a insegnare nella sise? E che sapienza è quella che gli è stata data? E i prodigi Ma Gesù disse loro: «Un profeta non è disprezzato se non nelGesù percorreva i villaggi d’intorno, insegnando. Parola del Signore.",374
"XV DOMENICA PRIMA LETTURA Dal libro del profeta Amos 7, 12-15 In quei giorni, Amasìa, [sacerdote di Betel,] disse ad ma a Betel non profetizzare più, perché questo è il santuario Amos rispose ad Amasìa e disse: Parola di Dio.",375
"SALMO RESPONSORIALE Mostraci, Signore, la tua misericordia. Ascolterò che cosa dice Dio, il Signore: Amore e verità s’incontreranno, Certo, il Signore donerà il suo bene",376
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 1, 3-14 Benedetto Dio, Padre del Signore nostro Gesù Cristo, In lui ci ha scelti prima della creazione del mondo In lui, mediante il suo sangue, In lui siamo stati fatti anche eredi,",377
"In lui anche voi, Parola di Dio. Forma breve: Dalla lettera di san Paolo apostolo agli Efesìni 1, 3-10 Benedetto Dio, Padre del Signore nostro Gesù Cristo, In lui ci ha scelti prima della creazione del mondo",378
"In lui, mediante il suo sangue, Parola di Dio. CANTO AL VANGELO Cf. Ef 1, 17-18 Alleluia, alleluia. Il Padre del Signore nostro Gesù Cristo Alleluia.",379
"VANGELO Dal Vangelo secondo Marco 6, 7-13 In quel tempo, Gesù chiamò a sé i Dodici e preE diceva loro: «Dovunque entriate in una casa, rimanetevi finEd essi, partiti, proclamarono che la gente si convertisse, Parola del Signore.",380
"XVI DOMENICA PRIMA LETTURA Dal libro del profeta Geremìa 23, 1-6 Dice il Signore: «Guai ai pastori che fanno perire e disperdono il Perciò dice il Signore, Dio d’Israele, contro i pastori che devoRadunerò io stesso il resto delle mie pecore da tutte le regioEcco, verranno giorni – oracolo del Signore –",381
"e Israele vivrà tranquillo, Parola di Dio. SALMO RESPONSORIALE Il Signore è il mio pastore: non manco di nulla. Il Signore è il mio pastore: Mi guida per il giusto cammino Davanti a me tu prepari una mensa Sì, bontà e fedeltà mi saranno compagne",382
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 2, 13-18 Fratelli, ora, in Cristo Gesù, voi che un tempo eravaEgli infatti è la nostra pace, Così egli ha abolito la Legge, fatta di prescrizioni e di decreti, Egli è venuto ad annunciare pace a voi che eravate lontani, Parola di Dio.",383
