date,evento,weekday,celebrazione,id_liturgia,anno,liturgia1,liturgia2
2019-07-28,17° D.T.O.,Sunday,XVII domenica del Tempo Ordinario,C52-C,2019,http://www.lachiesa.it/calendario/Detailed/20190728.shtml,https://liturgia.silvestrini.org/letture/2019-07-28.html
2019-08-04,18° D.T.O.,Sunday,XVIII domenica del Tempo Ordinario,C53-C,2019,http://www.lachiesa.it/calendario/Detailed/20190804.shtml,https://liturgia.silvestrini.org/letture/2019-08-04.html
2019-08-06,Trasfigurazione del Signore,Tuesday,6 agosto: Trasfigurazione del Signore,C75-C,2019,http://www.lachiesa.it/calendario/Detailed/20190806.shtml,https://liturgia.silvestrini.org/letture/2019-08-06.html
2019-08-11,19° D.T.O.,Sunday,XIX domenica del Tempo Ordinario,C54-C,2019,http://www.lachiesa.it/calendario/Detailed/20190811.shtml,https://liturgia.silvestrini.org/letture/2019-08-11.html
2019-08-15,Assunzione della Beata Vergine Maria,Thursday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-C,2019,http://www.lachiesa.it/calendario/Detailed/20190815.shtml,https://liturgia.silvestrini.org/letture/2019-08-15.html
2019-08-18,20° D.T.O.,Sunday,XX domenica del Tempo Ordinario,C55-C,2019,http://www.lachiesa.it/calendario/Detailed/20190818.shtml,https://liturgia.silvestrini.org/letture/2019-08-18.html
2019-08-25,21° D.T.O.,Sunday,XXI domenica del Tempo Ordinario,C56-C,2019,http://www.lachiesa.it/calendario/Detailed/20190825.shtml,https://liturgia.silvestrini.org/letture/2019-08-25.html
2019-09-01,22° D.T.O.,Sunday,XXII domenica del Tempo Ordinario,C57-C,2019,http://www.lachiesa.it/calendario/Detailed/20190901.shtml,https://liturgia.silvestrini.org/letture/2019-09-01.html
2019-09-08,13° D.T.O.,Sunday,XIII domenica del Tempo Ordinario,C48-C,2019,http://www.lachiesa.it/calendario/Detailed/20190908.shtml,https://liturgia.silvestrini.org/letture/2019-09-08.html
2019-09-14,Esaltazione della Santa Croce,Saturday,14 settembre: Esaltazione della Santa Croce,C78-C,2019,http://www.lachiesa.it/calendario/Detailed/20190914.shtml,https://liturgia.silvestrini.org/letture/2019-09-14.html
2019-09-15,24° D.T.O.,Sunday,XXIV domenica del Tempo Ordinario,C59-C,2019,http://www.lachiesa.it/calendario/Detailed/20190915.shtml,https://liturgia.silvestrini.org/letture/2019-09-15.html
2019-09-22,25° D.T.O.,Sunday,XXV domenica del Tempo Ordinario,C60-C,2019,http://www.lachiesa.it/calendario/Detailed/20190922.shtml,https://liturgia.silvestrini.org/letture/2019-09-22.html
2019-09-29,26° D.T.O.,Sunday,XXVI domenica del Tempo Ordinario,C61-C,2019,http://www.lachiesa.it/calendario/Detailed/20190929.shtml,https://liturgia.silvestrini.org/letture/2019-09-29.html
2019-10-06,27° D.T.O.,Sunday,XXVII domenica del Tempo Ordinario,C62-C,2019,http://www.lachiesa.it/calendario/Detailed/20191006.shtml,https://liturgia.silvestrini.org/letture/2019-10-06.html
2019-10-13,28° D.T.O.,Sunday,XXVIII domenica del Tempo Ordinario,C63-C,2019,http://www.lachiesa.it/calendario/Detailed/20191013.shtml,https://liturgia.silvestrini.org/letture/2019-10-13.html
2019-10-20,29° D.T.O.,Sunday,XXIX domenica del Tempo Ordinario,C64-C,2019,http://www.lachiesa.it/calendario/Detailed/20191020.shtml,https://liturgia.silvestrini.org/letture/2019-10-20.html
2019-10-27,30° D.T.O.,Sunday,XXX domenica del Tempo Ordinario,C65-C,2019,http://www.lachiesa.it/calendario/Detailed/20191027.shtml,https://liturgia.silvestrini.org/letture/2019-10-27.html
2019-11-01,Solennità di tutti i Santi,Friday,1 novembre: Tutti i Santi,C79-C,2019,http://www.lachiesa.it/calendario/Detailed/20191101.shtml,https://liturgia.silvestrini.org/letture/2019-11-01.html
2019-11-02,Commemorazione dei defunti,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-C,2019,http://www.lachiesa.it/calendario/Detailed/20191102.shtml,https://liturgia.silvestrini.org/letture/2019-11-02.html
2019-11-02,Commemorazione dei defunti,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-C,2019,http://www.lachiesa.it/calendario/Detailed/20191102.shtml,https://liturgia.silvestrini.org/letture/2019-11-02.html
2019-11-02,Commemorazione dei defunti,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-C,2019,http://www.lachiesa.it/calendario/Detailed/20191102.shtml,https://liturgia.silvestrini.org/letture/2019-11-02.html
2019-11-03,31° D.T.O.,Sunday,XXXI domenica del Tempo Ordinario,C66-C,2019,http://www.lachiesa.it/calendario/Detailed/20191103.shtml,https://liturgia.silvestrini.org/letture/2019-11-03.html
2019-11-09,Dedicazione Basilica Lateranense,Saturday,9 novembre: Dedicazione della Basilica lateranense,C83-C,2019,http://www.lachiesa.it/calendario/Detailed/20191109.shtml,https://liturgia.silvestrini.org/letture/2019-11-09.html
2019-11-10,32° D.T.O.,Sunday,XXXII domenica del Tempo Ordinario,C67-C,2019,http://www.lachiesa.it/calendario/Detailed/20191110.shtml,https://liturgia.silvestrini.org/letture/2019-11-10.html
2019-11-17,33° D.T.O.,Sunday,XXXIII domenica del Tempo Ordinario,C68-C,2019,http://www.lachiesa.it/calendario/Detailed/20191117.shtml,https://liturgia.silvestrini.org/letture/2019-11-17.html
2019-11-24,34° D.T.O. - Solennità di Cristo Re,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69-C,2019,http://www.lachiesa.it/calendario/Detailed/20191124.shtml,https://liturgia.silvestrini.org/letture/2019-11-24.html
2019-12-01,1° Domenica di Avvento,Sunday,I domenica di Avvento,C1-C,2019,http://www.lachiesa.it/calendario/Detailed/20191201.shtml,https://liturgia.silvestrini.org/letture/2019-12-01.html
2019-12-08,2° Domenica di Avvento,Sunday,II domenica di Avvento,C2-C,2019,http://www.lachiesa.it/calendario/Detailed/20191208.shtml,https://liturgia.silvestrini.org/letture/2019-12-08.html
