id_canti,similarity,mean_similarity,deviation,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score
2275,17.03,21.42,-4.390000000000001,Tu mi hai sedotto,"Giuseppe Cucuzza, Mari Pia Culella",,31,JmihOyqA6r4,0.5493165116279071,-0.4219125420470929,0.12740396958081418
2045,9.41,11.25,-1.8399999999999999,Dammi un cuore nuovo,Servi di Cristo vivo,,"21,9,10",,0.30352720930232563,-0.17683805862566077,0.12668915067666486
1974,11.72,14.37,-2.6499999999999986,Infinitamente Grazie,A.De Luca,,"32,9,14,52",fQo9hH2Zhnk,0.37803813953488374,-0.25468524747717436,0.12335289205770938
1786,19.21,24.42,-5.210000000000001,Pentecoste,De Lazzaro-Manzari,,"10,20",Uu0mt8mYKO4,0.6196341860465117,-0.5007208073041809,0.11891337874233077
275,7.63,8.96,-1.330000000000001,La Pace Sia con Te,Gen Verde,,30,F8fEmCpn4N0,0.2461118604651163,-0.12782316194137447,0.11828869852374183
419,14.9,18.86,-3.959999999999999,Segni del tuo amore,Gen Rosso - Gen Verde,,26,Ou0wDlaHWPY,0.48061162790697676,-0.3805862566074003,0.10002537129957645
1710,11.65,14.54,-2.889999999999999,Spezziamo il pane ,Chris Rolinson,,31,wsa2qtnfRfk,0.3757802325581395,-0.2777510812109562,0.09802915134718332
339,14.85,18.82,-3.9700000000000006,Ora è tempo di gioia,Gen Rosso,,"31,5,16",_RVb4knVC9Q,0.4789988372093023,-0.38154733301297467,0.09745150419632764
2436,13.65,17.31,-3.6599999999999984,Anche tu sei mio fratello,Pino Tombolato - Angelo Di Mario,Nessuno è solo al mondo,"32,10,51",7QViotWGhM0,0.44029186046511637,-0.35175396444017293,0.08853789602494344
2096,7.97,9.76,-1.79,Canoni - Dona la pace,Taizè,,"31,9,10",MNRLFsTPWOM,0.25707883720930236,-0.17203267659778956,0.0850461606115128
2009,13.61,17.31,-3.6999999999999993,Camminiamo incontro al Signore,Galliano - Semprini,,"21,2",-VSZAKeNjtE,0.4390016279069767,-0.35559827006246997,0.08340335784450675
2302,12.12,15.35,-3.2300000000000004,Il deserto fiorirà,Marco Frisina,Non temere,"21,2",WZ8GCddPj5I,0.39094046511627906,-0.3104276790004806,0.08051278611579843
1601,8.93,11.17,-2.24,Anima di Cristo,Roland Patzleiner - Figli del Divino Amore,,"31,9",W01svaJuMc8,0.2880444186046512,-0.21528111484863055,0.07276330375602064
2413,9.79,12.42,-2.630000000000001,Al tuo santo altar,E. Renoglio - Haie Les Roses,,21,9qAXp1l-Z10,0.3157844186046511,-0.2527630946660261,0.06302132393862503
2267,9.99,12.74,-2.75,Ascolta Israele,Piera Cori,Come passi di danza,"21,4",DWSykMIacqY,0.3222355813953488,-0.26429601153291693,0.05793956986243187
2724,3.8,4.51,-0.71,"Eli, Eli, lamma sabactani",M. Giombini,Salmi per il nostro tempo - Il suo tempo,4,mdvawF7h5X4,0.12257209302325581,-0.06823642479577127,0.054335668227484535
2571,6.8,8.52,-1.7199999999999998,Se il diavolo è arrabbiato,Popolare America Latina,,16,Ec-_Kg5kBeU,0.21933953488372093,-0.16530514175876984,0.05403439312495109
1756,4.31,5.21,-0.9000000000000004,Mi alma canta,Gen Verde ,Sulla via della speranza,"32,2,7",Aw7kiTpQCio,0.1390225581395349,-0.08649687650168193,0.05252568163785297
2209,12.87,16.65,-3.7799999999999994,Il mio canto sale a Te,Paolo Lo Martire RNS,,9,fQmOnN5Gmac,0.41513232558139535,-0.36328688130706394,0.05184544427433141
2358,8.5,10.87,-2.369999999999999,Ti offro Signor,Giuseppe Carrisi,Il 7° giorno,"26,52",bd8IuPNUM_g,0.2741744186046512,-0.2277751081210956,0.046399310483555584
2525,11.38,14.72,-3.34,Grazie a Te,Comunità Magnificat,,9,iyILYyPHbeg,0.36707116279069774,-0.3209995194617973,0.04607164332890046
1828,16.78,22.07,-5.289999999999999,Tu mi conosci,,,31,,0.541252558139535,-0.5084094185487746,0.03284313959076035
191,4.18,5.25,-1.0700000000000003,Evenhu Shalom,Tradizionale Ebraico,,30,AWePGSeapVo,0.13482930232558138,-0.10283517539644407,0.031994126929137306
2405,10.58,13.9,-3.3200000000000003,Le mie mani son piene (di benedizioni),José Vargas,,"32,8,10,51",jVY2rYmG0ac,0.341266511627907,-0.31907736665064884,0.022189144977258157
101,0.34,0.3,0.040000000000000036,Canoni - Magnificat,Taize,,18,nLM0GiihIbs,0.010966976744186048,0.011019283746556481,0.02198626049074253
13,14.78,19.52,-4.74,Alla mensa del Signore,Francesco Buttazzo,,31,-EAvW73QRiE,0.4767409302325581,-0.4555502162421914,0.021190713990366705
2168,17.79,23.56,-5.77,I miei occhi elevo a te ,RnS,Ha vinto il tuo amore,14,K_hqvLb0FLA,0.5738309302325582,-0.5545410860163383,0.01928984421621982
