evento,id_evento,ciclo_domenicale,id_liturgia
Immacolata Concezione,64,B,64-B
Madonna di Loreto,73,B,73-B
3° Domenica di Avvento - Gaudete,32,B,32-B
Santa Lucia,91,B,91-B
Inizio Novena di Natale,68,B,68-B
4° Domenica di Avvento,36,B,36-B
Natale del Signore,80,B,80-B
Santo Stefano,97,B,97-B
Festa della Sacra Famiglia,60,B,60-B
Messa di Ringraziamento,79,B,79-B
23° D.T.O.,16,C,16-C
4° D.T.O.,38,A,38-A
11° D.T.O.,2,A,2-A
31° D.T.O.,28,A,28-A
10° D.T.O.,1,B,1-B
17° D.T.O.,8,B,8-B
20° D.T.O.,13,B,13-B
24° D.T.O.,17,B,17-B
12° D.T.O.,3,C,3-C
10° D.T.O.,1,A,1-A
7° D.T.O.,44,B,44-B
8° D.T.O.,45,B,45-B
11° D.T.O.,2,C,2-C
9° D.T.O.,46,A,46-A
8° D.T.O.,45,A,45-A
10° D.T.O.,1,C,1-C
9° D.T.O.,46,C,46-C
