id_canti,titolo,autore,raccolta,momento,link_youtube
2164,Trasformaci in te,"S. Mazzarisi, M. Palmitessa",Tu vieni in mezzo a noi,"26,2",NYyvnlzPopA
1715,Trasformi in Gesù,Giosy Cento ,,26,4m4K4q2fO8g
2344,Trisaghion,Marco Frisina,Tu sei bellezza,31,cvmONd6ZH0s
463,Tu chi sei,Chiara Bizzetti,,31,4J5sLpixxJk
1828,Tu mi conosci,,,31,
2275,Tu mi hai sedotto,"Giuseppe Cucuzza, Mari Pia Culella",,31,JmihOyqA6r4
2005,Tu quando verrai,"Poma, Fant, Croft",,"21,32,2",W5fM08PGg34
2751,Tu qui,"Paolo Paci, Duilio Preti",Insieme Blu (1984),"31,5,15,20,52",
464,Tu sarai profeta,Marco Frisina,Tu sarai profeta,"21,26,31,2,16,20",3RlXWfB_ALI
1955,Tu sarai profeta (2),Marco Frisina,Tu sarai profeta,"21,31",3RlXWfB_ALI
465,Tu scendi dalle stelle,Tradizionale,,"32,3",THoF5snnSvE
466,Tu sei,Paolo Spoladore,Così,"21,31,6",RbEjtKf3Yr8
1544,Tu sei bambino,Daniele Ricci,,"21,3",QhJ29I6o3D4
2400,Tu sei il mio Dio ,RnS - M. Delavan,Come Davide,"31,9,10",QGyyfIiyNEA
2777,Tu sei il mio Dio (Meraviglioso),PDG Worship D.Cascio,,"31,9,11",QL7_sLKBXe0
2122,Tu sei la forza,Eman,,"5,6,10,14",PDaq_myKqbs
1576,Tu sei la perla preziosa,RnS,,"9,15",8j48Jn07_oM
1863,Tu sei misericordia,RnS,,"31,5",LGP1dbczCAw
2231,Tu sei per me,Gianlivio Bersigotti,,"31,9",WE47mdh7VXc
2326,Tu sei qui,RnS - G.Bonelli,Io ti seguirò,"21,31",6OXAMSdADts
1975,Tu sei qui (Medjugorje),Figli del divino amore,,"31,9,10,14,52",k_Wt7xCZn4I
2575,Tu sei qui (Way maker),Leeland,,"31,9",YKoiaFo6shc
1707,Tu sei Re,Nico Battaglia,,"21,31,9",zKrljiD2ANw
1995,Tu sei Santo Tu sei Re,Rns,,"31,9,10,11,14,52",-EtAY6ADJzo
2026,Tu un giorno,D. Machetta ,,"31,3",HdEZRTr8xus
1801,Tu vero pane della vita,Fabio Baggio,La vita che nasce,31,9VfmPmHwhmc
2170,Tu vieni signore,"S. Mazzarisi, M. Palmitessa",Tu vieni in mezzo a noi,"31,2",RhLrErFUEQk
2232,"Tu, nostro Pastore","Christopher Walker & Marco Deflorian, Marco Deflorian",,31,7fUhKmlhe-4
2641,"Tuo è il regno, tua è la potenza",RnS - S.Martinez - C.Venturini ,Prostrati adoriamo,21,z1WdTWgno5M
1680,Tutta la terra attende,F. Baggio,Maranatha vieni Signore,"21,2",66-THI043qA
2659,Tutta la vita è un dono,Gen Rosso,20 anni Gen Rosso,32,TExeT0w_4Gk
1379,Tutto è Possibile (Nuovi Orizzonti),Giuliano Pili,,"31,32,14",d5WeIReVXrU
2222,Tutto il mondo deve sapere,Gen Verde,Il Mistero Pasquale,"25,32,5",DxMOXCh1QLk
2439,"T’adoriam, Ostia divina",Popolare,Collana Canti per la Liturgia: Inni e canti,9,tstLbNE5AJU
2333,Umiliò se stresso,Marco Frisina,Chi ci separerà dall'amore di Cristo?,"21,4",TseqIMvD3TY
2601,Un canto il cuor,Stuart K. Hine,,"21,9,14,52",SMXCMX-F4bw
1814,Un canto semplice d’amore,---,,"31,10,14",DwAdkGTW7E8
470,Un cuore nuovo,Francesco Buttazzo,,"4,12,17",3rNr2gpEFhA
2223,Un raggio splenderà,Padre Daniele Badiali,,"32,10,12,16,53",BBJZz11_clY
2103,Un sogno che vola,Maurizio Palazzo,,"32,10,53",v6DPyjT9Qjs
1717,"Un sol corpo, un sol spirito",Salvatore Martinez,,"21,32,16",n-Gov3B4AIk
2576,Uomo di galilea,RnS,Vive Gesù il Signor,21,zp74gDOTECw
1716,Usami Signore,Benedetto Conte - Pietro Ferrante,,"6,9,52",
1925,Vedrai che bello," Stefano Colombo, Angelo Racz",,"32,10,20",8NJ-KurGG6A
2578,Veglia al bambino Gesù,Tradizionale,,3,8j00v_PdMek
1950,Venite a me,L. Mariano,,"31,2,4,20",wEvLT3HnkTo
2225,Venite alla festa,Gen Rosso,,"21,31,32,15",rT926TNFLdM
2253,Venite applaudiamo al Signore,Kiko Arguello,,"21,4",AV8drfqaYE0
1817,Venite applaudiamo al Signore  (Salmo 94),Marco Frisina,Benedici il Signore,"21,24",0iJ462qTKh4
1718,Venite dal profondo,R. J. Stamps,,31,yz9LJgeGNHM
474,Venite fedeli,Tradizionale,,"21,3",_ScN76gAQ8g
2024,Venite fedeli (v2),Stefani - Wade,,"21,3",RHw_pm_ITWk
1938,Venite saliamo al monte del Signore,Marco Frisina,Salvatore del mondo,"24,4",31AWNjoGyIo
478,Verbum Panis,Mite Balduzzi,,"31,3",3cXJ9p4Zjo0
1698,Vergin Santa,RnS,,"21,31,2,3,7",mTnD1HXRnfk
2197,Vergine Madre,Marco Frisina,Vergine Madre,7,
1664,Vero cibo è il tuo corpo,RnS,Mi arrendo al tuo amore,31,MT5d5ErYJ10
479,Verremo a Te,Guido Meregalli,,21,
2047,Vexilla regis prodeunt,Venanzio Fortunato-Urbano VIII,,4,
480,Vi amo così,M. Brusati - M. Versaci,,"31,32",QErFrdcT4RA
1732,Vi annuncio la gioia,Fabio Baggio,,"21,3",E619YuHXNMc
1719,Vi darò un cuore nuovo,L. De Mattia - Guglielmo Amadei,,"21,31,4,11,12",3uyh87q1AyE
1594,Vi lascio un grande esempio,Pasquale Dargenio,Dalla tua Croce,"31,5",3yZ1qsQJhSw
2205,Vidi la nuova Gerusalemme,Marco Frisina,Vergine Madre,"21,7",KYqctObWoJE
2206,Vidi l’acqua,Marco Frisina,Cristo è nostra Pasqua,"5,8",-V3jTKB9dyE
2007,Viene il Signore,Marco Frisina,,"31,2",M4HpP9L3Aig
483,Vieni al Signor,Matteo Calisi Da Tradizionale Ebraico,,"21,24,31,4,14",iDWgszB1njo
2230,Vieni con me,Giosy Cento,,"21,32,10,15,20",MWWqRbyq3t0
1811,Vieni dal Libano,P. Marciani - N. Cometto,,"21,15",bPbi4SXd0MU
486,Vieni e seguimi,Gen Rosso,Se siamo uniti,"21,32,17,20",EprjM1pGNyY
2419,Vieni fratello (il Padre ci chiama),A. Lagorio,Nella casa del Padre,"21,32",FwHQOBW1sU4
1598,"Vieni Gesù, Maranathà",Francesco Buttazzo,Maranthà vieni Signore,"21,2",So3lUEds_Qs
487,Vieni Nasci ancora,Daniele Ricci,,3,Lw_edz-5dFw
1943,Vieni o Spirito Creatore,P. Antonio Josue,,"21,6",S2C8rWnCfdg
2757,Vieni popolo mio,"F. Baggio, F. Buttazzo",Tempo di grazia,"21,31,32",qUykvY6s7Gk
2208,Vieni Santo Spirito,Gen Verde,,"21,26,31,6,10,19",QGNjaSspl4k
2433,Vieni Santo Spirito (culla il mio cuore),Sara Corrieri,,6,VEIrSzFD2K0
1832,Vieni Signore non tardare,Marco Frisina,Salvatore del mondo,2,Udrb_WYeFPs
2167,Vieni Signore Vieni (Maranatha),Galliano Semprini,Il signore è vicino,"21,2",_TX0DWif4aw
489,Vieni Spirito di Cristo (Vieni vieni spirito d’amore),RnS - G. Amadei - K. Arguello,Spirito Santo Vieni,6,cD9dCcT0jl0
1612,Vieni Spirito di Dio,A.M.Landi - D. Deo,,10,-VvG8REU7h4
490,Vieni Spirito Forza dall'alto,Roland Patzleiner - Figli del Divino Amore,,6,OTf1E6wL31k
1812,"Vieni Spirito Santo, Vieni",P. Bordini,,6,JJuq6PeYw4Y
1917,"Vieni, santo spirito di Dio",Francesco Buttazzo - Daniele Scarpa,,"21,6",2cvwfltc0v8
2214,Viva don Bosco,,,"32,10,53",_As9JAXiEe0
492,Vivere la vita,Gen Verde,E' bello lodarti,"21,31,32,16",Tq4pPkWwzA4
1813,Vivi della sua pace,F. Baggio; G. Beltrami,,"30,32",tZUa6rV5lLw
2106,Vivi in noi don Bosco,A. Franciosa,,"32,10,53",w5HqA0sNAGg
1780,Vocazione,Pierangelo Sequeri,In cerca d'autore,"21,31,12,20",8omR81t4csc
493,Vocazione (v2),Pierangelo Sequeri,In cerca d'autore,"21,31,20",pgTabb5fhIU
1990,Voglio adorare te,RnS,,9,NOHPFNL88Iw
494,Voglio cantare al Signor,RnS,,"21,24,32",N3iWAEOmLDc
2579,Voglio darti il mio cuor,Comunità Cenacolo,Dio dell'amore,"14,15",ImJ8_w59iq0
2789,Voglio restar con Te,sconosciuto,,"32,9,14",Hfe2whkYfos
496,Voglio ringraziare,---,,"26,18",BqY1WvhAN5Y
2386,Voglio stare accanto a Te,Don Moen,,"31,52",JnKh2n15Q-4
2390,Voglio stare accanto a Te,RnS,,"31,9",lsxeJEV8NbI
497,Voi siete di Dio,Mite Balduzzi,,"21,26,32,8",TTVG8A9cGKQ
506,Voi siete di Dio (v2),Mite Balduzzi,,"21,26,32,8",TTVG8A9cGKQ
2642,Volgete gli occhi ,RnS - Jean Luc Moens,Benedici il Signor,"21,52",fXXvEFGg4Ms
2367,Volto dell'Uomo,Domenico Machetta,,"28,31,4",4YVuuIiZZDk
1841,Volto Santo di Cristo,Marco Frisina,Salvatore del mondo,4,
2121,Who you say I am,Hillsong,,"32,10,11,12,14,15,16,20,52",lKw6uqtGFfo
2257,Yes Lord,Darrell Evans,,51,II0ALMgLUrI
