id_canti,similarity,titolo,autore,raccolta,momento,link_youtube
2453,0,Grazie Gesù,Giulia e Tommaso Fasano,Festa di prima Comunione,"31,10",JCWXU2p21QI
2452,0,Al Santo Glorioso (Inno in onore di San Francesco di Paola),tradizionale,,"21,32,10",YJkcn-3kDgk
2451,0,Ballata per Maria ,Roberto Bignoli,Una voce per la speranza,"7,10",bt7jWPZHKdA
2450,0,Bellezza sei Tu,Fra Giuseppe Di Fatta,Viva immagine di Te,"32,10,14,52,54",RnH-WWowomg
245,0,Insieme a Te,Francesco Buttazzo,Alla tua festa,31,_1taK6Kc8gw
2449,0,Al Signore canterò, D. Haas - M. Deflorian,Nella gioia della fede,"21,14",-HqBThklPK8
2448,0,Ai piedi della Croce,Corrado Salmè,Infuocati per Dio '04,"9,10",VF01Mdiqa38
2447,0,Tempo di ricominciare,Gen Verde,Tempo di ricominciare,31,uKal1PpNSJs
2446,0,Alleluja - Cristo è risorto dai morti,dalla liturgia Pasquale orientale,,"25,5",bjkNmeYsQ2s
2445,0,Proteggimi o Dio (Salmo 15(16)),Alberto Galotta,,"24,5",RTHo6joY1MM
2444,0,Resta con noi Gesù ,Avolio-Capacchione-La Rocca,Festa con Gesù,21,tHajxXxahJU
2443,0,E' nato nel mondo ,Giuseppe Tranchida,Alleluja è Natale,"21,3",mXiG2dpKBXU
2442,0,Come il fiume,Domenico Machetta,"CANTI PER LA PREGHIERA DEI GIOVANI - Sei con noi, uno di noi",26,oPqySizQeYw
2441,0,C'eri tu ,Stefano Varnava,I negro spirituals in italiano,"4,9,12",0dMes0mREMM
2439,0,"T’adoriam, Ostia divina",Popolare,Collana Canti per la Liturgia: Inni e canti,9,tstLbNE5AJU
2438,0,Io ho un amico,RnS,Sempre canterò,"32,10,51",iI0YYQirz7A
2437,0,Pace,Rita Mazzocco,Celebriamo la nostra speranza,30,EbAB6ghGZhU
241,0,In notte placida,Couperin François,,"31,3",ptkL8MHn9xk
2408,0,Absorbeat,S. Francesco d'Assisi,,"31,54",
2455,0,Pane della vita,Giuseppe Tranchida,Con voci di gioia,"26,10",wHwd8M2E_AQ
2378,0,Saremo sempre amici,M. Emberti Gialloreti-A.M. Galliano,Incontro con Gesù,"21,2,3,5,10",
2386,0,Voglio stare accanto a Te,Don Moen,,"31,52",JnKh2n15Q-4
2385,0,Sempre canterò,RnS,Sempre canterò,"21,32",-kVhOU4GERs
2384,0,Dai la mano a tuo fratello,RnS,Sempre canterò,"21,30,32,3,5",JPrPBoEy6d0
2383,0,"Signore, sei Tu il mio Pastor",R. Jef - D. Stefani,,"24,31,2,3,4,5",tHsxzhub6po
