id_canti,mean_similarity,max_similarity
1943,0.22,0.34
2679,0.22,0.31
2124,0.22,0.35
2388,0.22,0.4
2117,0.22,0.4
1558,0.22,0.35
1715,0.22,0.3
1898,0.22,0.41
2111,0.22,0.39
2758,0.22,0.32
1847,0.22,0.37
1563,0.22,0.34
2392,0.22,0.33
276,0.22,0.3
264,0.22,0.52
1862,0.22,0.36
1900,0.22,0.33
470,0.22,0.41
1938,0.22,0.66
2382,0.22,0.4
2375,0.22,0.38
1551,0.22,0.35
2014,0.22,0.36
2275,0.22,0.38
2745,0.22,0.49
1828,0.22,0.47
2790,0.22,0.35
1552,0.22,0.33
2144,0.22,0.34
1556,0.21,0.32
2232,0.21,0.45
2876,0.21,0.3
2673,0.21,0.36
2037,0.21,0.41
257,0.21,0.37
278,0.21,0.32
2886,0.21,0.35
2552,0.21,0.32
9,0.21,0.41
2245,0.21,0.37
2256,0.21,0.32
2048,0.21,0.8
2178,0.21,0.38
57,0.21,0.31
1427,0.21,0.32
2201,0.21,0.3
2192,0.21,0.48
2078,0.21,0.36
2191,0.21,0.37
2190,0.21,0.35
2188,0.21,0.3
2551,0.21,0.48
2073,0.21,0.37
159,0.21,0.44
146,0.21,0.38
2120,0.21,0.4
1590,0.21,0.34
2059,0.21,0.45
2503,0.21,0.33
10,0.21,0.34
2107,0.21,0.3
135,0.21,0.33
2057,0.21,0.33
2056,0.21,0.52
2113,0.21,0.32
2247,0.21,0.46
252,0.21,0.37
2553,0.21,0.33
1625,0.21,0.32
1768,0.21,0.38
1748,0.21,0.38
1978,0.21,0.37
450,0.21,0.35
2341,0.21,0.38
1843,0.21,0.36
359,0.21,0.35
355,0.21,0.33
2449,0.21,0.34
352,0.21,0.36
1857,0.21,0.49
2451,0.21,0.37
1951,0.21,0.4
413,0.21,0.33
1880,0.21,0.34
2315,0.21,0.35
1681,0.21,0.38
2599,0.21,0.34
1905,0.21,0.71
1667,0.21,0.35
2466,0.21,0.36
2351,0.21,0.41
1925,0.21,0.36
1740,0.21,0.35
2474,0.21,0.33
1992,0.21,0.58
1737,0.21,0.31
1810,0.21,0.38
176,0.21,0.35
1622,0.21,0.35
2411,0.21,0.33
1719,0.21,0.57
1820,0.21,0.36
2412,0.21,0.42
405,0.21,0.37
1782,0.21,0.35
2408,0.21,0.36
2316,0.21,0.35
443,0.21,0.34
1998,0.21,0.34
39,0.21,0.36
2897,0.21,0.34
12,0.2,0.35
1795,0.2,0.32
371,0.2,0.35
1892,0.2,0.3
2641,0.2,0.53
1743,0.2,0.35
1767,0.2,0.36
2355,0.2,0.44
1912,0.2,0.33
1913,0.2,0.33
1665,0.2,0.33
2370,0.2,0.39
2435,0.2,0.28
411,0.2,0.3
2418,0.2,0.31
368,0.2,0.32
2189,0.2,0.32
144,0.2,0.3
2260,0.2,0.35
1701,0.2,0.31
362,0.2,0.32
2262,0.2,0.36
2752,0.2,0.31
1919,0.2,0.34
2743,0.2,0.32
1695,0.2,0.31
451,0.2,0.29
13,0.2,0.31
1778,0.2,0.31
2160,0.2,0.33
2764,0.2,0.29
1706,0.2,0.3
2103,0.2,0.32
46,0.2,0.35
2420,0.2,0.33
2297,0.2,0.43
2473,0.2,0.33
1986,0.2,0.4
2088,0.2,0.33
1976,0.2,0.34
288,0.2,0.64
1645,0.2,0.35
2798,0.2,0.35
1587,0.2,0.34
1646,0.2,0.35
2860,0.2,0.45
1648,0.2,0.35
2858,0.2,0.35
23,0.2,0.34
2326,0.2,0.32
1582,0.2,0.35
2029,0.2,0.33
2896,0.2,0.34
2568,0.2,0.34
2308,0.2,0.28
48,0.2,0.44
1937,0.2,0.35
1754,0.2,0.35
2811,0.2,0.39
1663,0.2,0.32
2674,0.2,0.37
2788,0.2,0.34
2007,0.2,0.33
2463,0.2,0.35
2478,0.2,0.37
2502,0.19,0.3
2224,0.19,0.3
1742,0.19,0.34
2182,0.19,0.31
2258,0.19,0.32
259,0.19,0.45
2055,0.19,0.29
2261,0.19,0.42
2430,0.19,0.35
2480,0.19,0.3
67,0.19,0.32
1717,0.19,0.34
2658,0.19,0.53
1731,0.19,0.34
2249,0.19,0.34
1783,0.19,0.3
1621,0.19,0.32
2538,0.19,0.32
2214,0.19,0.3
137,0.19,0.35
2028,0.19,0.33
1735,0.19,0.37
1794,0.19,0.34
377,0.19,0.29
419,0.19,0.33
2035,0.19,0.54
2740,0.19,0.37
503,0.19,0.34
2742,0.19,0.3
1760,0.19,0.28
1455,0.19,0.31
1818,0.19,0.32
2338,0.19,0.34
2285,0.19,0.32
1632,0.19,0.33
2174,0.19,0.29
2086,0.19,0.33
2554,0.19,0.34
2459,0.19,0.32
1744,0.19,0.33
2515,0.19,0.28
1896,0.19,0.38
2460,0.19,0.31
322,0.19,0.31
1945,0.19,0.34
423,0.19,0.31
2118,0.19,0.3
2115,0.19,0.34
1909,0.19,0.33
1656,0.19,0.32
2353,0.19,0.33
2098,0.19,0.4
2108,0.19,0.36
1915,0.19,0.33
1917,0.19,0.32
2558,0.19,0.3
1948,0.19,0.29
1574,0.19,0.34
2453,0.19,0.33
2721,0.19,0.47
1841,0.19,0.37
2062,0.19,0.37
2462,0.19,0.34
1644,0.19,0.46
2626,0.19,0.35
2526,0.19,0.3
1545,0.19,0.38
1546,0.19,0.35
2243,0.19,0.6
2588,0.19,0.35
1690,0.19,0.39
2629,0.19,0.3
