id_canti,titolo,max,mean
8,Acqua siamo noi,33,5.74
2100,Salve dolce Vergine,33,5.94
10,Adesso è la pienezza,32,8.1
1752,Mi basta la tua grazia,32,4.91
48,Amatevi fratelli,32,7.65
503,Lode al Nome Tuo,32,7.5
1684,Celebriamo il Signore,32,32.0
370,Quale gioia,31,5.81
443,Su ali d’aquila,31,6.81
444,Sulla Tua parola (Pietro vai),31,9.33
1667,Cosa Offrirti,30,6.73
321,Noi canteremo gloria a Te,30,6.39
1675,Symbolum ‘77,30,7.48
5,Accogli i nostri doni,30,9.37
168,E' bello lodarti,30,7.25
1917,"Vieni, santo spirito di Dio",30,5.94
160,Dio s’è fatto come noi,29,8.9
1575,Dio è amore,29,6.03
451,"Te, al centro del mio cuore",28,8.25
2723,Dio ha tanto amato il mondo,28,7.83
411,Scusa Signore,28,8.47
224,Il canto dell’amore,28,8.13
1758,Samuel,28,9.75
2060,Dove la carità è vera,27,6.29
2155,Isaia 62,27,6.63
2098,"Spirito Santo, dolce presenza",27,6.5
419,Segni del tuo amore,26,9.91
1725,Innalziamo lo sguardo,26,9.83
83,Benedici o Signore,26,9.05
325,Noi veniamo a Te,26,5.83
1887,Esulta il cielo,26,7.13
200,Fratello Sole e Sorella Luna,25,5.82
1427,Camminiamo sulla strada,25,16.33
4,Acclamate al Signore,24,7.26
1700,Regina caeli,24,10.1
81,Benedetto Tu Signore,24,5.9
2024,Venite fedeli (v2),23,11.92
2653,O cieli piovete dall'alto,23,17.25
1986,Cristo speranza delle genti,23,4.91
1958,Resto con te,23,7.41
2426,Ave Maria di Lourdes,23,13.0
1997,"Dio con noi, Emmanuel",23,7.0
2277,Olio di Letizia,23,7.58
1748,Benedetto Signore (Cerco solo Te),22,5.67
1817,Venite applaudiamo al Signore  (Salmo 94),22,5.5
293,Lui verrà e ti salverà,22,6.16
1664,Vero cibo è il tuo corpo,22,5.56
1939,La mia Pasqua è il Signore,22,6.79
2171,Maria porta dell'avvento,22,10.75
1635,Accogli nella tua bontà,22,5.83
2260,Fammi conoscere,22,8.0
1639,Mi perdo nel tuo amore,21,5.17
1822,Il seme del tuo campo,21,4.72
1856,Canoni - Ubi Caritas,21,8.27
1757,Chi ha sete,21,7.17
480,Vi amo così,21,7.75
1598,"Vieni Gesù, Maranathà",21,9.0
1709,Signore da chi andremo,21,9.0
205,Gioisci Figlia di Sion,20,6.67
2513,Dove troveremo tutto il pane,20,5.78
