id_canti,similarity,mean_similarity,deviation,id_liturgia,manually_selected,note,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score,score_selection
1890,14.85,17.72,-2.869999999999999,,,,Anima di Cristo,RnS,Voglio vedere il tuo volto,"26,31,9,10",KLqxm064syo,0.5136073560767591,-0.24891587163920204,0.2646914844375571,
1972,11.14,12.57,-1.4299999999999997,,,,Io Mi Arrendo (HillSong - I Surrender),HillSong,,"22,9,11",jHWAZIrV6eU,0.3852919829424308,-0.12402428447528185,0.2612676984671489,
170,21.83,27.65,-5.82,,,,E' giunta l’ora,Luciano Scaglianti,,"4,13,17",z0_74gnHpQ8,0.7550201066098081,-0.5047701647875109,0.2502499418222972,
2483,13.25,15.65,-2.4000000000000004,,,,Io mi arrendo,ADI Media - Matt Crocker,,9,-XMDKz0m4ts,0.4582691897654584,-0.20815264527320038,0.250116544492258,
2490,11.55,13.3,-1.75,,,,Agnello di Dio,Francesco Buttazzo,Si è fatto come noi,71,JixeMjg5CWQ,0.39947238805970153,-0.1517779705117086,0.24769441754799293,
1630,10.99,12.67,-1.6799999999999997,,,,Gesù mori per me (invocazione),,,9,tR8MzbLk-YI,0.38010402985074626,-0.14570685169124023,0.23439717815950603,
2778,13.18,15.84,-2.66,,,,Lascia i tuoi pesi,Sefora Nelson,Spero,"31,5,9,11",B4o9Wh2SjnM,0.45584814498933907,-0.23070251517779708,0.225145629811542,
2665,12.99,15.59,-2.5999999999999996,,,,Chi perde la sua vita per me,Sr. Hermana Glenda,,"31,12",k77hcuLAouU,0.4492767377398721,-0.22549869904596703,0.22377803869390506,
2542,12.61,15.19,-2.58,,,,Lascia i tuoi pesi,Sefora Nelson,,"31,11",B4o9Wh2SjnM,0.43613392324093814,-0.22376409366869038,0.21236982957224776,
464,20.01,25.57,-5.559999999999999,,,,Tu sarai profeta,Marco Frisina,Tu sarai profeta,"21,26,31,2,16,20",3RlXWfB_ALI,0.6920729424307037,-0.48222029488291407,0.20985264754778965,
1623,13.58,16.64,-3.0600000000000005,,,,La tua Croce,---,,4,jOXFIceOme4,0.4696826865671642,-0.2653946227233305,0.20428806384383374,
2272,12.63,15.43,-2.799999999999999,,,,Agnello di Dio,Daniele Ricci,,71,,0.43682565031982945,-0.24284475281873366,0.1939808975010958,
1955,17.94,22.87,-4.93,,,,Tu sarai profeta (2),Marco Frisina,Tu sarai profeta,"21,31",3RlXWfB_ALI,0.6204791897654586,-0.42758022549869906,0.1928989642667595,
2621,11.4,13.74,-2.34,,,,Cristo vive in me,RnS - Canto popolare america latina,,"31,18",ZKDa7COIw68,0.39428443496801713,-0.20294882914137033,0.1913356058266468,
1742,14.94,18.82,-3.880000000000001,,,,Agnello di Dio,Buttazzo - Dargenio,Esulta il cielo,71,Zt6pb2xh5kU,0.5167201279317698,-0.336513443191674,0.18020668474009582,
2130,11.91,14.61,-2.6999999999999993,,,,Degno di Lode,Athena,,"6,9,52",4Vs34USuGdk,0.41192347547974417,-0.23417172593235033,0.17775174954739384,
1574,15.21,19.27,-4.059999999999999,,,,"Signore, tu sei nostro amico",Francesco Buttazzo,,11,AuvCTxdss_0,0.5260584434968018,-0.3521248915871638,0.17393355190963794,
253,21.25,27.72,-6.469999999999999,,,,Io non sono degno,Claudio Chieffo,È bella la strada,31,6pb9LFGAM2E,0.7349600213219616,-0.5611448395490025,0.17381518177295907,
1768,16.13,20.58,-4.449999999999999,,,,Io ti offro,Marcello Giombini,La Messa dei Giovani (Messa Beat),26,pYcdTkiREAs,0.5578778891257996,-0.3859496964440589,0.1719281926817407,
443,16.46,21.07,-4.609999999999999,,,,Su ali d’aquila,Michael Jancas,,"31,32",M24IfMH1PhU,0.5692913859275054,-0.3998265394622723,0.16946484646523308,
1756,5.08,5.21,-0.1299999999999999,,,,Mi alma canta,Gen Verde ,Sulla via della speranza,"32,2,7",Aw7kiTpQCio,0.17569867803837957,-0.011274934952298343,0.16442374308608124,
1685,13.2,16.59,-3.3900000000000006,,,,Corpo di Gesù,M. Penhard,,31,LKp7C_R0SEg,0.4565398720682302,-0.29401561144839555,0.16252426061983466,
2120,16.08,20.63,-4.550000000000001,,,,Quello che Dio dice di me (versione italiana),Hillsong,,"32,10,11,12,14,16",wB5SGy3-leI,0.5561485714285714,-0.3946227233304424,0.16152584809812903,
2523,11.21,13.85,-2.639999999999999,,,,Gesù (mi perdonò),RnS,,14,QUPSb74bIR4,0.3877130277185501,-0.2289679098005203,0.1587451179180298,
2043,12.27,15.34,-3.0700000000000003,,,,Sono nato di nuovo,Servi di Cristo vivo,,"32,6,8,10,14,52",,0.42437456289978687,-0.2662619254119688,0.15811263748781806,
2325,8.64,10.29,-1.6499999999999986,,,,Santo Spirito,"RnS - Vigo, Napoli",Mi affido a te,"21,26,6",qPyQGS2ulE0,0.2988260980810235,-0.1431049436253251,0.1557211544556984,
1567,5.84,6.41,-0.5700000000000003,,,,Apri i miei occhi Signore,RnS,,"21,24",cWmBVEVPoZQ,0.20198430703624734,-0.04943625325238511,0.15254805378386221,
1915,14.52,18.6,-4.080000000000002,,,,Agnello di Dio (da Sorgente di unità),Francesco Buttazzo,,71,QL8vus9_Ni4,0.5021938592750533,-0.35385949696444075,0.1483343623106126,
1744,14.52,18.6,-4.080000000000002,,,,Agnello di Dio,M. Palmitessa,Riuniti nel tuo nome,71,GL2AgO9tD9E,0.5021938592750533,-0.35385949696444075,0.1483343623106126,
1632,14.52,18.6,-4.080000000000002,,,,Agnello di Dio,Tradizionale,,71,,0.5021938592750533,-0.35385949696444075,0.1483343623106126,
2381,12.87,16.34,-3.4700000000000006,,,,Il Signore è mio pastore  (Salmo 22),M. Valmaggi,Salmi per la preghiera,24,FdJaa_mTjWQ,0.44512637526652454,-0.3009540329575022,0.14417234230902232,
1864,13.45,17.21,-3.7600000000000016,,,,Ecco l'uomo (Uomo della Croce - forma breve),Pierangelo Sequeri,,"31,4,10",mY_d628hlJc,0.46518646055437096,-0.32610581092801405,0.1390806496263569,
1945,14.65,18.96,-4.3100000000000005,,,,Agnello di Dio,Salvatore Basilotta,,71,0fyZwv2MdYs,0.5066900852878465,-0.37380745880312233,0.1328826264847242,
1599,9.08,11.19,-2.1099999999999994,,,,Mi rialzerai,Giorgio Ammirabile,Canzoni D`amore Al Padre Vol. 3,14,Lgca7x-7Uzk,0.3140440938166312,-0.1830008673026886,0.13104322651394257,
1797,13.29,17.13,-3.84,,,,"Signore, fa di me uno strumento",M. Gonzo,,"26,30",ZcE3A3qbMnU,0.4596526439232409,-0.33304423243712056,0.12660841148612034,
1834,3.65,3.66,-0.010000000000000231,,,,Kyrie Eleison,Marco Frisina,Salvatore del mondo,"22,2",DqUPts8ApGU,0.1262401918976546,-0.0008673026886383548,0.12537288920901624,
1613,19.34,25.61,-6.27,,,,Come un prodigio,Debora Vezzani,,31,KOSXHmMwJQI,0.6689000852878464,-0.5437987857762359,0.12510129951161053,
2135,6.1,7.1,-1.0,,,,Aprimi gli occhi del cuore,Jeunesse en Mission,,"21,10,14",41BvMRjjJmo,0.21097675906183366,-0.08673026886383348,0.12424649019800019,
2782,8.82,10.96,-2.1400000000000006,,,,Nelle mani tue,Gen Verde,,"21,32",qJh6HCNo79o,0.3050516417910448,-0.1856027753686037,0.11944886642244112,
1824,13.86,18.13,-4.27,,,,Alleluia (venite a me),Orlandini - Herrera,,25,bvWOchOCQKg,0.4793668656716418,-0.3703382480485689,0.10902861762307287,
249,20.81,27.87,-7.060000000000002,,,,"Io credo, risorgerò",Gino Stefani,,"21,13",X9clLTZHcvQ,0.7197420255863539,-0.6123156981786646,0.10742632740768931,
207,11.61,15.01,-3.4000000000000004,,,,Gli angeli delle campagne,Noël,,3,wtCunFlJfpM,0.40154756929637525,-0.2948829141370339,0.10666465515934137,
359,15.64,20.65,-5.009999999999998,,,,Perchè Tu sei con me,Gen Verde,,"24,14",Ja9I81E1NLQ,0.5409305756929638,-0.43451864700780557,0.1064119286851582,
1752,17.49,23.27,-5.780000000000001,,,,Mi basta la tua grazia,RnS (G. Sanfratello - G. Cucuzza) ,,"31,32,52",MLW5Dz0Bnmw,0.6049153304904051,-0.5013009540329576,0.10361437645744753,
2445,12.93,16.9,-3.969999999999999,,,,Proteggimi o Dio (Salmo 15(16)),Alberto Galotta,,"24,5",RTHo6joY1MM,0.44720155650319826,-0.3443191673894188,0.10288238911377945,
2064,12.77,16.73,-3.960000000000001,,,,Crea in me o Dio un cuore puro,Spoladore,,"31,4,9,11",XE82L-FSMbc,0.44166773987206825,-0.34345186470078065,0.0982158751712876,
2186,13.83,18.22,-4.389999999999999,,,,Agnello di Dio Exsultet,Daniele Esposito,,71,I2p7D0mQViM,0.47832927505330497,-0.3807458803122289,0.09758339474107608,
2162,0.68,0.55,0.13,,,,Be thou my vision,popolare irlandese,,"32,2,3,4,5,10,11,12,13,14,15,16,20,52",ihJAJA4ibEs,0.023518720682302773,0.0697050938337802,0.09322381451608297,
344,7.43,9.36,-1.9299999999999997,,,,Pace a te,Marcello Giombini,Camminiamo nella speranza,30,o9OKvdTcqZI,0.25697660980810233,-0.1673894189071986,0.08958719090090372,
1631,12.34,16.24,-3.8999999999999986,,,,Agnello di Dio,Francesco Buttazzo ,Vita nuova con Te,71,HsswpBzH1p4,0.42679560767590613,-0.33824804856895047,0.08854755910695566,
1572,12.71,16.83,-4.119999999999997,,,,Agnello di Dio,Gen Rosso,Come fuoco vivo,"71,18",pRdqkgFPsII,0.4395925586353945,-0.3573287077189937,0.08226385091640076,
46,14.44,19.27,-4.83,,,,Amar come Gesù amò (per avere la felicità),---,,31,_w4pBkQPgso,0.4994269509594883,-0.41890719861231573,0.08051975234717257,
462,5.93,7.46,-1.5300000000000002,,,,Ti seguirò,Marco Frisina,,"31,20",Y_xgpeKRs3k,0.205097078891258,-0.13269731136166524,0.07239976752959276,
1975,7.1,9.11,-2.01,,,,Tu sei qui (Medjugorje),Figli del divino amore,,"31,9,10,14,52",k_Wt7xCZn4I,0.24556311300639658,-0.17432784041630528,0.0712352725900913,
1911,1.34,1.3,0.040000000000000036,,,,Agnus Dei,,,71,,0.046345714285714296,0.021447721179624693,0.06779343546533899,
1935,1.94,1.94,0.0,,,,Agnus Dei,Giosy Cento,,"71,2,3,4,5",_2zFoFm_a1c,0.06709752665245203,0.0,0.06709752665245203,
2664,16.89,22.89,-6.0,,,,La giusta direzione,Davide Vigano,,"21,32",LnWzimILeZI,0.5841635181236675,-0.5203816131830009,0.0637819049406666,
1579,10.23,13.59,-3.3599999999999994,,,,Signore cerchi i figli tuoi,Eugenio Costa - G. Del Treppo,,11,hI6cHpaqHWs,0.35381840085287847,-0.29141370338248046,0.06240469747039801,
2372,8.02,10.5,-2.4800000000000004,,,,Non sei più tu che cerchi me,RnS - A. Napolitano,Il deserto canta,"21,31,4,9",F4C_jtS-nII,0.27738255863539446,-0.21509106678230708,0.06229149185308738,
1720,1.47,1.45,0.020000000000000018,,,,"Laudate, omnes gentes",Taizè,,"9,18,52",lbb-kaurSW0,0.050841940298507464,0.010723860589812347,0.06156580088831981,
2507,13.75,18.53,-4.780000000000001,,,,Così come sei,Adi Media,Adorazione 5,"31,9,11",aTsLHkeyzNE,0.4755623667377399,-0.41457068516912415,0.06099168156861573,
2415,8.16,10.73,-2.5700000000000003,,,,Quando lo spirito ,RnS Margaret Evans,Spirito Santo Vieni!,"21,32,9",h6boHiv50V0,0.2822246481876333,-0.22289679098005208,0.05932785720758124,
1781,12.62,16.97,-4.35,,,,Gesù e la samaritana,RnS (A. De Luca - B. Conte),,"31,4,12",qsZ3gwW_sFc,0.4364797867803838,-0.37727666955767564,0.05920311722270816,
2724,3.7,4.51,-0.8099999999999996,,,,"Eli, Eli, lamma sabactani",M. Giombini,Salmi per il nostro tempo - Il suo tempo,4,mdvawF7h5X4,0.12796950959488274,-0.07025151777970509,0.057717991815177644,
2257,2.77,3.21,-0.43999999999999995,,,,Yes Lord,Darrell Evans,,51,II0ALMgLUrI,0.09580420042643925,-0.038161318300086726,0.057642882126352525,
2185,1.26,1.24,0.020000000000000018,,,,Agnus Dei (miserere et pacem),Daniele Esposito,,71,oi6I52MhsaQ,0.043578805970149265,0.010723860589812347,0.05430266655996161,
317,5.29,6.81,-1.5199999999999996,,,,Nella luce del Signor,RnS,Shalom,6,fZwY4SNQQRU,0.18296181236673775,-0.13183000867302685,0.0511318036937109,
137,13.8,18.74,-4.939999999999998,,,,Come Tu mi vuoi,RnS - D.Branca,Io scelgo Te,31,rs-cOyy-5MQ,0.47729168443496806,-0.4284475281873372,0.04884415624763083,
2256,14.99,20.42,-5.4300000000000015,,,,Oceani (dove i miei piedi possono fallire),Hillsong,,"31,14",W251tJ42igI,0.5184494456289979,-0.4709453599306159,0.04750408569838194,
2514,6.65,8.79,-2.139999999999999,,,,E la montagna si muoverà,--,,"10,16",uOMLQQhnQe8,0.22999925373134333,-0.18560277536860356,0.04439647836273977,
1711,7.2,9.56,-2.3600000000000003,,,,Spirito del Dio vivente,Jacques Godard,,6,QfhKk-joa8k,0.24902174840085295,-0.20468343451864704,0.04433831388220591,
1743,14.67,20.03,-5.360000000000001,,,,Agnello di Dio,Piera Cori,,71,4OSvVUH6AJ4,0.5073818123667377,-0.4648742411101476,0.04250757125659016,
2751,12.85,17.49,-4.639999999999999,,,,Tu qui,"Paolo Paci, Duilio Preti",Insieme Blu (1984),"31,5,15,20,52",,0.4444346481876333,-0.40242844752818724,0.04200620065944605,
1951,15.24,20.86,-5.619999999999999,,,,"Agnello di Dio, abbi pietà",Daniele Ricci - Venne Nel Mondo,,71,eoYN_mTZzi0,0.5270960341151386,-0.4874241110147441,0.039671923100394524,
1601,8.31,11.17,-2.8599999999999994,,,,Anima di Cristo,Roland Patzleiner - Figli del Divino Amore,,"31,9",W01svaJuMc8,0.2874126012793177,-0.2480485689505637,0.03936403232875402,
14,10.04,13.6,-3.5600000000000005,,,,Alla Tua presenza,Fabio Tiddia,,"21,31",piAK9gyfQQI,0.3472469936034115,-0.3087597571552472,0.038487236448164264,
1710,10.71,14.54,-3.8299999999999983,,,,Spezziamo il pane ,Chris Rolinson,,31,wsa2qtnfRfk,0.3704198507462687,-0.33217692974848206,0.038242920997786645,
1775,11.63,15.83,-4.199999999999999,,,,Non mi abbandonare,L. Scaglianti,,"4,11,13",nzILBiAVGds,0.4022392963752665,-0.36426712922810056,0.03797216714716595,
2480,13.58,18.58,-4.999999999999998,,,,Eloì,Comunità Maria,,4,ME1zNQ80gKs,0.4696826865671642,-0.43365134431916724,0.03603134224799698,
2163,12.8,17.5,-4.699999999999999,,,,Mi sentii pieno di gioia (Salmo 122),Lauro Zuffolini,,"21,24,2",091962VkPoI,0.4427053304904052,-0.4076322636600173,0.03507306683038791,
1651,5.26,6.96,-1.7000000000000002,,,,Talità Kum,RnS,Misericordia sei,21,m-54f4aPx1Q,0.18192422174840087,-0.14744145706851694,0.034482764679883926,
2270,22.23,30.7,-8.469999999999999,,,,Non sono più io che vivo,RnS,Misericordia sei,31,_45-2Dr9dQ4,0.7688546481876333,-0.7346053772766695,0.03424927091096375,
1679,10.41,14.18,-3.7699999999999996,,,,Dal tronco di Jesse,"F. Baggio, F. Buttazzo, D. Ricci, D. Semprini",,"21,2",vpuAulKxEh4,0.3600439445628998,-0.3269731136166522,0.033070830946247576,
2293,16.39,22.57,-6.18,,,,Se tu mi ami Simone,Marco Frisina,Signore è il Suo nome,31,c3QYTBkofvs,0.566870341151386,-0.5359930615784909,0.0308772795728951,
2375,16.1,22.22,-6.119999999999997,,,,Ave Maria splendore e bellezza,Negrini-Frigerio,,"32,7",dIBWh6i-7aU,0.5568402985074627,-0.5307892454466607,0.02605105306080202,
144,14.35,19.78,-5.4300000000000015,,,,Credo in Te,Marco Frisina ,Non temere,"24,31",LhsITZZqOOo,0.4963141791044776,-0.4709453599306159,0.02536881917386169,
102,1.38,1.64,-0.26,,,,Canoni - Misericordias Domini,Taize,,"22,18",pva71b0fTMM,0.047729168443496804,-0.022549869904596707,0.025179298538900097,
316,20.13,27.87,-7.740000000000002,,,,Nel Tuo silenzio,Gen verde,Come fuoco vivo,"31,52",MTbJK2Cu-xk,0.6962233049040512,-0.6712922810060713,0.024931023897979854,
1461,1.76,2.18,-0.42000000000000015,,,,Credo,Mite Balduzzi,,2,ND-L8vG9LsM,0.060871982942430715,-0.03642671292281008,0.024445270019620637,
1841,13.72,18.91,-5.1899999999999995,,,,Volto Santo di Cristo,Marco Frisina,Salvatore del mondo,4,,0.474524776119403,-0.45013009540329574,0.024394680716107287,
1974,10.43,14.37,-3.9399999999999995,,,,Infinitamente Grazie,A.De Luca,,"32,9,14,52",fQo9hH2Zhnk,0.36073567164179104,-0.3417172593235039,0.01901841231828716,
1829,1.97,2.56,-0.5900000000000001,,,,Misericordias Domini,Henryk Jan Botor,,"26,32,4,14,18,52",1f-ajE9k5Is,0.06813511727078891,-0.05117085862966176,0.016964258641127154,
2403,6.68,9.17,-2.49,,,,Noi t’invochiamo,F.G.Pesare,,6,rgplGCJAqaU,0.2310368443496802,-0.21595836947094538,0.015078474878734816,
2571,6.21,8.52,-2.3099999999999996,,,,Se il diavolo è arrabbiato,Popolare America Latina,,16,Ec-_Kg5kBeU,0.2147812579957356,-0.20034692107545532,0.014434336920280288,
1967,3.3,4.46,-1.1600000000000001,,,,"Tota pulchra es, Maria",Gregoriano,,7,d391vKzANfM,0.11413496801705755,-0.10060711188204685,0.013527856135010702,
2055,13.19,18.3,-5.110000000000001,,,,Maria tu prega,Francesco Cioffi ,,7,h-ig0ynZcc0,0.45619400852878467,-0.4431916738941892,0.013002334634595492,
234,17.15,23.84,-6.690000000000001,,,,Il Signore è il mio pastore,Davide Maria Turoldo - Ismaele Passoni - Bepi De Marzi,,"24,31",JYP678udLec,0.5931559701492537,-0.5802254986990462,0.012930471450207537,
1603,2.61,3.51,-0.8999999999999999,,,,Regina della Pace,Letizia Centorbi,,7,pRi2BLYq0XI,0.09027038379530918,-0.07805724197745012,0.012213141817859055,
2418,13.88,19.29,-5.409999999999998,,,,Padre nostro (testo adattato nuova liturgia),Marcello Giombini,Camminiamo nella speranza,29,SRrs7O27wK4,0.48005859275053303,-0.469210754553339,0.010847838197194037,
2089,1.48,1.96,-0.48,,,,Sanctus,Figli del divino amore,,27,,0.05118780383795309,-0.04163052905464007,0.009557274783313023,
502,0.38,0.44,-0.06,,,,Lord I Need You,Matt Maher,,"21,15",LuvfMDhTyMA,0.013142814498933904,-0.005203816131830009,0.007938998367103895,
2314,0.87,1.13,-0.2599999999999999,,,,Magnificat - Mina,Marco Frisina,,31,e410OlByoE8,0.030090127931769718,-0.022549869904596696,0.007540258027173022,
2499,10.92,15.2,-4.279999999999999,,,,Buon Gesù,Don Livio Tacchini,La tua Parola mi incanta,"31,9",Dc2zfuAM2DY,0.37768298507462683,-0.37120555073720723,0.006477434337419596,
2553,14.67,20.45,-5.779999999999999,,,,Ora che sei qui (Now That You're Near),Hillsong ,,"21,14",yI_dguDpCVg,0.5073818123667377,-0.5013009540329575,0.006080858333780248,
1674,22.64,31.6,-8.96,,,,Non sono più io che vivo,Stefano La Porta,,"31,52",_45-2Dr9dQ4,0.7830350533049042,-0.7771032090199481,0.005931844284956078,
1,10.04,13.98,-3.9400000000000013,,,,Abbà Misericordia,De Luca - Aguila,,"21,4,11",CIoHu_60JQQ,0.3472469936034115,-0.34171725932350405,0.005529734279907439,
1986,14.55,20.32,-5.77,,,,Cristo speranza delle genti,RnS,,"21,31",Lc-nMRdJR5Y,0.5032314498933903,-0.5004336513443192,0.00279779854907114,
1914,0.0,0.0,0.0,,,,"Alleluja, Tradizionale",Pasquale gregoriano,,"25,5",6sLNiJd95jY,0.0,0.0,0.0,
1638,0.0,0.0,0.0,,,,Ad una voce,RnS,Ad una voce,"21,31,32",Kt5woytl9RQ,0.0,0.0,0.0,
2142,0.0,0.0,0.0,,,,Laudate Dominum,Taizè,,"21,14",mwRMT2_pi9c,0.0,0.0,0.0,
2527,0.0,0.0,0.0,,,,Griderò,--,,14,,0.0,0.0,0.0,
100,0.0,0.0,0.0,,,,Canoni - Laudate omnes gentes,Taize,,"14,18",lbb-kaurSW0,0.0,0.0,0.0,
2273,0.0,0.0,0.0,,,,Lode a te oh Cristo,,,"25,4",,0.0,0.0,0.0,
1755,0.0,0.0,0.0,,,,Kyrie,--,,"22,11",,0.0,0.0,0.0,
329,0.0,0.0,0.0,,,,"O Dio, Tu sei il mio Dio",Marco Frisina,,24,7Ss8-mRlInA,0.0,0.0,0.0,
1973,0.0,0.0,0.0,,,,Si accende una luce,Lucernario,,2,BtW8PDIm2dc,0.0,0.0,0.0,
2013,0.0,0.0,0.0,,,,Madonna nera,Jan Dobraczynski - Padre Adelfio Cimini,,"32,2,7,9,10,11,13,14,52",JfB9XLu2mtg,0.0,0.0,0.0,
1922,0.0,0.0,0.0,,,,Alleluja (Terry),,,"25,5,10",,0.0,0.0,0.0,
453,0.0,0.0,0.0,,,,Ti esalto Dio mio Re,RnS,,"21,24,32,14",k-FQwfnrxl0,0.0,0.0,0.0,
2024,0.0,0.0,0.0,,,,Venite fedeli (v2),Stefani - Wade,,"21,3",RHw_pm_ITWk,0.0,0.0,0.0,
2033,0.0,0.0,0.0,,,,Alleluja,Salvatore Basilotta,,25,8MsombMxjp0,0.0,0.0,0.0,
1996,0.0,0.0,0.0,,,,Kyrie,"Mite, Balduzzi - messa Verbum Panis",,"22,11",RnHTcY9zpZw,0.0,0.0,0.0,
1642,1.2,1.69,-0.49,,,,Salve Regina [Latino],Autori Religiosi Vari,,"32,7",gMufzUX3RUY,0.04150362473347548,-0.042497831743278404,-0.0009942070098029263,
2491,0.42,0.6,-0.18,,,,Alleluia (congolese),--,,25,,0.01452626865671642,-0.015611448395490026,-0.0010851797387736069,
490,9.56,13.41,-3.8499999999999996,,,,Vieni Spirito Forza dall'alto,Roland Patzleiner - Figli del Divino Amore,,6,OTf1E6wL31k,0.3306455437100213,-0.3339115351257589,-0.003265991415737579,
2319,0.12,0.21,-0.09,,,,Joy to the world,Celtic Woman,,32,30OaM6b48k8,0.004150362473347548,-0.007805724197745013,-0.003655361724397465,
2094,0.24,0.38,-0.14,,,,"Canoni - Adoramus Te, Domine",Taizè,,"31,9,10",R1UOt3kMkF4,0.008300724946695096,-0.01214223764093669,-0.003841512694241593,
1407,7.1,9.98,-2.880000000000001,,,,Noi ti diamo gloria,---,,"28,31",H93SearWnjM,0.24556311300639658,-0.2497831743278405,-0.004220061321443924,
2175,0.3,0.48,-0.18,,,,Benedicat tibi Dominu,S.Francesco - Siro Merlo,,"10,52",OuuEwfAmd94,0.01037590618336887,-0.015611448395490026,-0.005235542212121157,
1700,3.83,5.43,-1.5999999999999996,,,,Regina caeli,Janet Canto Gregoriano,,"32,7",yzMa0qzwagA,0.13246573560767594,-0.13876843018213353,-0.00630269457445759,
1626,6.06,8.56,-2.500000000000001,,,,O Amore Ineffabile,Marco Frisina,,31,T03wmoGQJHs,0.2095933049040512,-0.2168256721595838,-0.007232367255532585,
408,5.62,7.95,-2.33,,,,Santo è Santo,Kiko Arguello,,27,28hHmFcXkqE,0.19437530916844348,-0.20208152645273203,-0.007706217284288552,
2624,2.41,3.46,-1.0499999999999998,,,,Gesù (invocazione),RnS - R.Magnabosco,,"28,31,9,10,11,12,20",wMb9MhgCMuU,0.0833531130063966,-0.09106678230702514,-0.007713669300628542,
2384,6.56,9.27,-2.71,,,,Dai la mano a tuo fratello,RnS,Sempre canterò,"21,30,32,3,5",JPrPBoEy6d0,0.22688648187633265,-0.23503902862098874,-0.008152546744656097,
1921,8.22,11.6,-3.379999999999999,,,,O Salvezza del mondo (Inno Madonna della Catena di Cassano Jonio),F. Pennini - F. Spingola,,"21,32,7",DcXsoC35PcY,0.2842998294243071,-0.29314830875975706,-0.008848479335449966,
1912,13.78,19.4,-5.619999999999999,,,,Agnello di Dio,Giosy Cento,,71,TRjrNXPZIUI,0.47659995735607674,-0.4874241110147441,-0.010824153658667346,
2522,2.82,4.08,-1.2600000000000002,,,,Gesù io desidero amarti,Daniela Saetta,La Tua parola mi incanta,"31,9",,0.09753351812366737,-0.10928013876843021,-0.01174662064476284,
1969,6.39,9.08,-2.6900000000000004,,,,"Gesù, Jesus (Medjugorje)",Regina della Pace,,"30,6,9,10,14",GLU1Cq7n8KA,0.22100680170575693,-0.2333044232437121,-0.012297621537955161,
2576,7.54,10.72,-3.1800000000000006,,,,Uomo di galilea,RnS,Vive Gesù il Signor,21,zp74gDOTECw,0.26078110874200433,-0.2758022549869905,-0.015021146244986183,
