id_liturgia,riferimento,id_canti,vector_similarity
C5-A,vangelo,2332,0.6514205416335066
C5-A,vangelo,1969,0.6478591851877007
C5-A,vangelo,2625,0.6436666196499884
C5-A,vangelo,2296,0.6382195589518862
C5-A,vangelo,2603,0.6308288528828085
C5-A,vangelo,2127,0.6303393213518035
C5-A,vangelo,2273,0.6286964843991915
C5-A,vangelo,2295,0.6268849597874069
C5-A,vangelo,2578,0.6264250456963004
C6-A,liturgia,2578,0.8327931650844713
C6-A,liturgia,1740,0.8099484715957286
C6-A,liturgia,2173,0.7987615191619567
C6-A,liturgia,2007,0.7982063865372686
C6-A,liturgia,247,0.7857403498967918
C6-A,liturgia,2598,0.7842749838707108
C6-A,liturgia,2208,0.7829379222739192
C6-A,liturgia,449,0.7744857137277282
C6-A,liturgia,44,0.7736059961645648
C6-A,liturgia,2473,0.7699621014230916
C6-A,prima_lettura,227,0.5983681748525321
C6-A,prima_lettura,2618,0.5861663348424032
C6-A,prima_lettura,2192,0.5842213251798299
C6-A,prima_lettura,2728,0.5792320704446444
C6-A,prima_lettura,170,0.5738293093285384
C6-A,prima_lettura,2534,0.5701370459288473
C6-A,prima_lettura,2073,0.5694229828570272
C6-A,prima_lettura,2800,0.5548277731556202
C6-A,prima_lettura,295,0.553874866843938
C6-A,prima_lettura,1544,0.551264954631934
C6-A,salmo,2596,0.550443430920693
C6-A,salmo,102,0.4929169252588811
C6-A,salmo,2142,0.4921649611365164
C6-A,salmo,2074,0.4699650399251234
C6-A,salmo,100,0.4693629890452924
C6-A,salmo,2493,0.4612596858928662
C6-A,salmo,2897,0.4601653735457567
C6-A,salmo,2063,0.4563468936026034
C6-A,salmo,3023,0.4399678729356742
C6-A,salmo,2024,0.4364885368727343
C6-A,seconda_lettura,2072,0.7881582261262781
C6-A,seconda_lettura,1957,0.748720745896733
C6-A,seconda_lettura,2805,0.7408687826650177
C6-A,seconda_lettura,2892,0.7406448019670743
C6-A,seconda_lettura,1728,0.7354463787749554
C6-A,seconda_lettura,1724,0.7319171431577496
C6-A,seconda_lettura,1584,0.7284263006767235
C6-A,seconda_lettura,4,0.7237240968300065
C6-A,seconda_lettura,1940,0.7236785782708449
C6-A,seconda_lettura,285,0.7220300331372277
C6-A,versetto,2024,0.619037155077506
C6-A,versetto,102,0.4126816045831448
C6-A,versetto,2123,0.3970834143977964
C6-A,versetto,2095,0.3310364293885768
C6-A,versetto,1705,0.3307247417257243
C6-A,versetto,2094,0.3286477545746038
C6-A,versetto,2897,0.3257657259272987
C6-A,versetto,1922,0.3248858032699966
C6-A,versetto,2596,0.3232204854679565
C6-A,versetto,100,0.3224622975518615
C6-A,vangelo,2023,0.7955392373602975
C6-A,vangelo,2443,0.7252407717585798
C6-A,vangelo,24,0.7213748825594419
C6-A,vangelo,2658,0.7074597136092025
C6-A,vangelo,2472,0.7035455008017102
C6-A,vangelo,2332,0.7033296728307082
C6-A,vangelo,1662,0.6981878559311724
C6-A,vangelo,1543,0.696525471053354
C6-A,vangelo,1746,0.6892802513880912
C6-A,vangelo,2026,0.6839640943601843
C7-A,liturgia,2412,0.8498538311510446
C7-A,liturgia,2472,0.8453585334813714
C7-A,liturgia,22,0.8448078202816427
C7-A,liturgia,184,0.8438771689065534
C7-A,liturgia,1578,0.8270184117827751
C7-A,liturgia,2598,0.8248665444436375
C7-A,liturgia,2007,0.8228828280361424
C7-A,liturgia,1836,0.821829446178182
C7-A,liturgia,2533,0.8199051012532733
C7-A,liturgia,474,0.8194765079256956
C7-A,prima_lettura,2167,0.7446311232231968
C7-A,prima_lettura,1979,0.7281782747811117
C7-A,prima_lettura,1832,0.7138225772235716
C7-A,prima_lettura,2273,0.7117865175748801
C7-A,prima_lettura,25,0.7106189388062832
C7-A,prima_lettura,2164,0.7083168466092734
C7-A,prima_lettura,325,0.7033583347127538
C7-A,prima_lettura,199,0.7032705588627143
C7-A,prima_lettura,1725,0.7000965269872196
C7-A,prima_lettura,2786,0.6996869221872591
C7-A,salmo,2596,0.5508808994694552
C7-A,salmo,2142,0.4851383906843177
C7-A,salmo,102,0.4762651869208554
C7-A,salmo,100,0.4551444517259567
C7-A,salmo,2074,0.4542777370999236
C7-A,salmo,2493,0.4501508663622423
C7-A,salmo,2897,0.4462868406697825
C7-A,salmo,2063,0.4412585074113034
C7-A,salmo,2024,0.4268358864131383
C7-A,salmo,2094,0.4236083241277452
C7-A,seconda_lettura,2896,0.7144714997725908
C7-A,seconda_lettura,1582,0.6849786290442215
C7-A,seconda_lettura,2345,0.6839531472055814
C7-A,seconda_lettura,353,0.6837807160510696
C7-A,seconda_lettura,1945,0.6836572572000643
C7-A,seconda_lettura,1754,0.6817520716420041
C7-A,seconda_lettura,483,0.6816852359454892
C7-A,seconda_lettura,1668,0.6805795596588684
C7-A,seconda_lettura,1902,0.6803109731613585
C7-A,seconda_lettura,2977,0.678724027947914
C7-A,versetto,2024,0.6266932200704854
C7-A,versetto,102,0.4086525110462288
C7-A,versetto,2123,0.3508908925440313
C7-A,versetto,2493,0.3268684662160471
C7-A,versetto,2897,0.3232417702591449
C7-A,versetto,1705,0.321937968840252
C7-A,versetto,1638,0.3199719234244581
C7-A,versetto,2095,0.3095643628978707
C7-A,versetto,2273,0.3095208806820578
C7-A,versetto,2596,0.3056391671305593
C7-A,vangelo,302,0.6623464309267578
C7-A,vangelo,2481,0.6565445919380032
C7-A,vangelo,1954,0.6502981131960319
C7-A,vangelo,1916,0.6366576365810275
C7-A,vangelo,196,0.6122163415386105
C7-A,vangelo,2547,0.604762020257787
C7-A,vangelo,2717,0.6035303825234328
C7-A,vangelo,1620,0.5993804784244934
C7-A,vangelo,1656,0.5879166826438934
C7-A,vangelo,2426,0.5834633446007403
C8-A,liturgia,159,0.8511072432412017
C8-A,liturgia,3021,0.7920126872403936
C8-A,liturgia,2533,0.7840171917417175
C8-A,liturgia,2253,0.7746299693263264
C8-A,liturgia,2598,0.7742338656229094
C8-A,liturgia,1726,0.7691875731341946
C8-A,liturgia,2179,0.7637001109521377
C8-A,liturgia,1885,0.7579220879060046
C8-A,liturgia,135,0.7569598120788851
C8-A,liturgia,2756,0.7565861424378769
C8-A,prima_lettura,2666,0.7008747982772418
C8-A,prima_lettura,1680,0.6964094071303172
C8-A,prima_lettura,1760,0.6892496139681275
C8-A,prima_lettura,321,0.6816936137856193
C8-A,prima_lettura,1645,0.6808527148468511
C8-A,prima_lettura,1743,0.6797703866743734
C8-A,prima_lettura,2892,0.6774155967915648
C8-A,prima_lettura,1584,0.6760625374279957
C8-A,prima_lettura,2204,0.6760145091581574
C8-A,prima_lettura,1857,0.6739239700400098
C8-A,salmo,2596,0.5563572288313353
C8-A,salmo,2142,0.5034503987191158
C8-A,salmo,102,0.4886714438368219
C8-A,salmo,100,0.4805322203033756
C8-A,salmo,2493,0.4657407292081227
C8-A,salmo,2074,0.4591038325547372
C8-A,salmo,2063,0.4557269888475016
C8-A,salmo,2094,0.446516827029831
C8-A,salmo,2897,0.4424825022860132
