id_canti,titolo,score_vector_similarity,score_text_similarity,score_deviation,score_selection,score_history,score,adeguatezza
2329,Non cercate tra i morti,0.7349293041215645,0.63,0.5,0.2,,37.0,:material-dots-horizontal: Mh
17,Alleluia è risorto,,0.45,0.27,,,37.0,:material-dots-horizontal: Mh
2598,Simeone,0.7404052571480979,0.36,-0.0,,,37.0,:material-dots-horizontal: Mh
2102,Giullare dei campi,,0.5,0.2,,,37.0,:material-dots-horizontal: Mh
1918,Io sarò con voi,,0.5,0.21,,,37.0,:material-dots-horizontal: Mh
1704,Il Signore è vicino,,0.44,0.25,,,36.0,:material-dots-horizontal: Mh
1887,Esulta il cielo,0.7326637958596449,0.37,-0.01,,,36.0,:material-dots-horizontal: Mh
2616,Resurrezione,0.7332764919049849,0.42,-0.09,,,36.0,:material-dots-horizontal: Mh
2251,"Alleluia, Cristo e' risorto",,0.48,0.2,,,36.0,:material-dots-horizontal: Mh
2199,Con Francesco profeti tra la gente,,0.47,0.21,,,35.0,:material-dots-horizontal: Mh
2382,Alleluia a Colui che risuscitò ,0.7286779766219175,0.34,0.0,,,35.0,:material-dots-horizontal: Mh
2660,Canoni Vari,0.7458517813255551,0.35,-0.03,,,35.0,:material-dots-horizontal: Mh
352,Padre nostro,0.7504818289709348,0.32,-0.02,,,35.0,:material-dots-horizontal: Mh
2311,La vera vite,,0.42,0.26,,,35.0,:material-dots-horizontal: Mh
2081,Cristo è risorto è vivo!  È con noi!,,0.5,0.16,,,35.0,:material-dots-horizontal: Mh
2801,Ditemi è vero!,,0.42,0.26,,,35.0,:material-dots-horizontal: Mh
2366,Alzo gli occhi verso i monti,0.7447807133653772,0.33,-0.04,,,34.0,:material-dots-horizontal: Mh
2621,Cristo vive in me,,0.41,0.25,,,34.0,:material-dots-horizontal: Mh
497,Voi siete di Dio,,0.44,0.21,,,34.0,:material-dots-horizontal: Mh
1604,Pane che non sei più pane,0.7255925373768114,0.3,0.02,,,34.0,:material-dots-horizontal: Mh
480,Vi amo così,,0.46,0.19,,,34.0,:material-dots-horizontal: Mh
506,Voi siete di Dio (v2),,0.44,0.21,,,34.0,:material-dots-horizontal: Mh
2437,Pace,,0.41,0.24,,,33.0,:material-dots-horizontal: Mh
2226,"Alleluia, Cristo è risorto",,0.46,0.17,,,33.0,:material-dots-horizontal: Mh
2533,Il custode d'Israele (salmo 120/121),0.7425912548196023,0.31,-0.05,,,33.0,:material-dots-horizontal: Mh
347,"Pace sia, pace a voi",,0.4,0.25,,,33.0,:material-dots-horizontal: Mh
1396,Rimanete in me,,0.42,0.21,,,33.0,:material-dots-horizontal: Mh
331,O Maestro (San Francesco),0.7742379151115499,0.34,-0.15,,,32.0,:material-dots-horizontal: Mh
1891,Alleluia Cristo è risorto veramente,,0.41,0.21,,,32.0,:material-dots-horizontal: Mh
2296,Custode del Signore (v2),0.755976148493337,0.37,-0.19,,,32.0,:material-dots-horizontal: Mh
2388,Lode alla Trinità,0.7410389697368736,0.3,-0.06,,,32.0,:material-dots-horizontal: Mh
1783,Padre Nostro,0.7551460270553051,0.31,-0.09,,,32.0,:material-dots-horizontal: Mh
1800,Ti ringrazio mio Signore,,0.47,0.14,,,32.0,:material-dots-horizontal: Mh
2492,Alzate il vostro sguardo,,0.37,0.25,,,32.0,:material-dots-horizontal: Mh
196,Fonti di Nazareth,,0.48,0.1,,,31.0,:material-dots-horizontal: Mh
1928,Santa degli impossibili (Santa Rita),,0.37,0.22,,,30.0,:material-dots-horizontal: Mh
383,Resurrezione,,0.44,0.12,,,30.0,:material-dots-horizontal: Mh
2500,Canta e cammina,,0.38,0.2,,,30.0,:material-dots-horizontal: Mh
