id_canti,mean_text_similarity,max_text_similarity
506,0.23,0.52
1929,0.23,0.47
27,0.23,0.36
1555,0.23,0.35
301,0.23,0.35
2112,0.23,0.41
1956,0.23,0.44
1708,0.23,0.41
415,0.23,0.34
1947,0.23,0.36
1557,0.23,0.41
177,0.23,0.33
2293,0.23,0.39
497,0.23,0.52
2240,0.23,0.33
167,0.23,0.36
2196,0.23,0.33
1716,0.23,0.32
2797,0.23,0.41
2076,0.23,0.38
2795,0.23,0.34
1730,0.23,0.55
2231,0.23,0.37
210,0.23,0.4
2923,0.23,0.37
2974,0.23,0.37
217,0.23,0.42
2259,0.23,0.45
227,0.23,0.59
2027,0.23,0.35
2023,0.23,0.67
2777,0.23,0.37
2284,0.23,0.72
2286,0.23,0.35
2287,0.23,0.51
201,0.23,0.38
152,0.23,0.34
1548,0.23,0.38
233,0.23,0.51
1955,0.23,0.35
1696,0.23,0.43
2613,0.23,0.36
138,0.23,0.37
1869,0.23,0.34
2143,0.23,0.37
1844,0.23,0.37
2504,0.23,0.35
335,0.23,0.34
1822,0.23,0.37
2487,0.23,0.42
1801,0.23,0.45
2485,0.23,0.39
1888,0.23,0.48
2856,0.23,0.35
2461,0.23,0.45
2458,0.23,0.34
150,0.23,0.38
1726,0.22,0.39
1619,0.22,0.39
2332,0.22,0.42
2745,0.22,0.49
2111,0.22,0.39
1793,0.22,0.36
3005,0.22,0.39
1715,0.22,0.3
1862,0.22,0.36
1757,0.22,0.38
2541,0.22,0.52
2099,0.22,0.32
492,0.22,0.32
2229,0.22,0.4
2014,0.22,0.36
1657,0.22,0.33
2646,0.22,0.31
2052,0.22,0.33
1607,0.22,0.5
294,0.22,0.44
1900,0.22,0.33
1749,0.22,0.54
68,0.22,0.4
2245,0.22,0.38
2241,0.22,0.47
1898,0.22,0.41
1847,0.22,0.37
2317,0.22,0.44
2622,0.22,0.39
1813,0.22,0.35
1610,0.22,0.35
2790,0.22,0.35
276,0.22,0.3
2758,0.22,0.32
2770,0.22,0.35
2618,0.22,0.5
470,0.22,0.41
1816,0.22,0.42
1828,0.22,0.47
2026,0.22,0.4
88,0.22,0.35
125,0.22,0.33
2401,0.22,0.42
2199,0.22,0.35
2144,0.22,0.34
1552,0.22,0.32
2679,0.22,0.31
1779,0.22,0.4
3027,0.22,0.36
2864,0.22,0.32
2219,0.22,0.38
2392,0.22,0.33
2663,0.22,0.32
1938,0.22,0.66
2388,0.22,0.4
1558,0.22,0.35
2124,0.22,0.35
2382,0.22,0.4
1563,0.22,0.34
1943,0.22,0.34
264,0.22,0.52
2375,0.22,0.38
2572,0.22,0.36
1551,0.22,0.35
2660,0.22,0.36
2371,0.22,0.38
2117,0.22,0.4
2857,0.22,0.36
2275,0.22,0.38
1681,0.21,0.38
2256,0.21,0.32
2247,0.21,0.46
2178,0.21,0.38
1820,0.21,0.35
2037,0.21,0.41
355,0.21,0.32
1740,0.21,0.35
2192,0.21,0.48
2056,0.21,0.52
2190,0.21,0.35
2191,0.21,0.37
2585,0.21,0.32
9,0.21,0.41
1667,0.21,0.35
1719,0.21,0.57
2201,0.21,0.3
2188,0.21,0.3
2810,0.21,0.44
2078,0.21,0.35
2073,0.21,0.37
257,0.21,0.37
10,0.21,0.34
2059,0.21,0.45
2232,0.21,0.45
2057,0.21,0.32
443,0.21,0.34
2897,0.21,0.34
1843,0.21,0.36
359,0.21,0.35
1737,0.21,0.31
2048,0.21,0.8
2816,0.21,0.42
2120,0.21,0.4
1625,0.21,0.32
159,0.21,0.44
2113,0.21,0.32
413,0.21,0.33
1880,0.21,0.34
1810,0.21,0.38
57,0.21,0.31
1768,0.21,0.38
1951,0.21,0.4
39,0.21,0.36
1556,0.21,0.32
1782,0.21,0.35
2474,0.21,0.33
450,0.21,0.35
2466,0.21,0.36
405,0.21,0.38
1925,0.21,0.36
146,0.21,0.38
2876,0.21,0.3
2673,0.21,0.36
2408,0.21,0.36
2411,0.21,0.33
2412,0.21,0.42
1905,0.21,0.71
2449,0.21,0.34
2599,0.21,0.34
2351,0.21,0.41
3011,0.21,0.42
2315,0.21,0.35
2553,0.21,0.33
278,0.21,0.32
1622,0.21,0.35
2552,0.21,0.32
2551,0.21,0.48
1857,0.21,0.49
135,0.21,0.33
1748,0.21,0.38
2886,0.21,0.35
2988,0.21,0.44
1998,0.21,0.34
2503,0.21,0.33
2107,0.21,0.3
1992,0.21,0.58
2316,0.21,0.35
2995,0.21,0.55
2997,0.21,0.31
252,0.21,0.37
1978,0.21,0.37
1427,0.21,0.32
176,0.21,0.35
2341,0.21,0.38
1590,0.21,0.34
2160,0.2,0.33
451,0.2,0.29
2811,0.2,0.39
1695,0.2,0.31
46,0.2,0.35
371,0.2,0.35
